Ontology	Ref	Count	expected	Fold Enrichment	over_under	raw P-value	FDR	GOID
response to leukemia inhibitory factor (GO:1990823)	105	2	0.52	+	3.84	0.0957	1.0	GO:1990823
hair cycle (GO:0042633)	107	2	0.53	+	3.77	0.0988	1.0	GO:0042633
molting cycle (GO:0042303)	107	2	0.53	+	3.77	0.0988	1.0	GO:0042303
plasma membrane organization (GO:0007009)	163	3	0.81	+	3.71	0.0474	1.0	GO:0007009
regulation of heart rate (GO:0002027)	109	2	0.54	+	3.70	0.102	1.0	GO:0002027
positive regulation of endothelial cell migration (GO:0010595)	109	2	0.54	+	3.70	0.102	1.0	GO:0010595
nucleoside triphosphate biosynthetic process (GO:0009142)	111	2	0.55	+	3.64	0.105	1.0	GO:0009142
RNA modification (GO:0009451)	172	3	0.85	+	3.52	0.0541	1.0	GO:0009451
muscle cell development (GO:0055001)	172	3	0.85	+	3.52	0.0541	1.0	GO:0055001
positive regulation of supramolecular fiber organization (GO:1902905)	174	3	0.86	+	3.48	0.0556	1.0	GO:1902905
regulation of circadian rhythm (GO:0042752)	117	2	0.58	+	3.45	0.115	1.0	GO:0042752
angiogenesis (GO:0001525)	352	6	1.74	+	3.44	0.00818	1.0	GO:0001525
regulation of actin cytoskeleton organization (GO:0032956)	353	6	1.75	+	3.43	0.00829	1.0	GO:0032956
regulation of signal transduction by p53 class mediator (GO:1901796)	120	2	0.59	+	3.36	0.119	1.0	GO:1901796
actomyosin structure organization (GO:0031032)	120	2	0.59	+	3.36	0.119	1.0	GO:0031032
regulation of alpha-beta T cell activation (GO:0046634)	123	2	0.61	+	3.28	0.124	1.0	GO:0046634
proton transmembrane transport (GO:1902600)	185	3	0.92	+	3.27	0.0644	1.0	GO:1902600
energy derivation by oxidation of organic compounds (GO:0015980)	310	5	1.54	+	3.25	0.0191	1.0	GO:0015980
regulation of T cell proliferation (GO:0042129)	188	3	0.93	+	3.22	0.0669	1.0	GO:0042129
positive regulation of cytoskeleton organization (GO:0051495)	189	3	0.94	+	3.20	0.0677	1.0	GO:0051495
regulation of cell division (GO:0051302)	189	3	0.94	+	3.20	0.0677	1.0	GO:0051302
epithelial cell proliferation (GO:0050673)	190	3	0.94	+	3.19	0.0686	1.0	GO:0050673
positive regulation of ERK1 and ERK2 cascade (GO:0070374)	191	3	0.95	+	3.17	0.0694	1.0	GO:0070374
cellular anatomical entity morphogenesis (GO:0032989)	129	2	0.64	+	3.13	0.134	1.0	GO:0032989
regulation of actin filament polymerization (GO:0030833)	129	2	0.64	+	3.13	0.134	1.0	GO:0030833
cellular component assembly involved in morphogenesis (GO:0010927)	129	2	0.64	+	3.13	0.134	1.0	GO:0010927
endocrine system development (GO:0035270)	129	2	0.64	+	3.13	0.134	1.0	GO:0035270
carbohydrate catabolic process (GO:0016052)	129	2	0.64	+	3.13	0.134	1.0	GO:0016052
purine ribonucleoside triphosphate metabolic process (GO:0009205)	196	3	0.97	+	3.09	0.0738	1.0	GO:0009205
positive regulation of cell cycle process (GO:0090068)	263	4	1.3	+	3.07	0.0419	1.0	GO:0090068
lysosomal transport (GO:0007041)	132	2	0.65	+	3.06	0.139	1.0	GO:0007041
regulation of actin filament-based process (GO:0032970)	398	6	1.97	+	3.04	0.0143	1.0	GO:0032970
cellular response to hypoxia (GO:0071456)	133	2	0.66	+	3.03	0.141	1.0	GO:0071456
vesicle-mediated transport to the plasma membrane (GO:0098876)	134	2	0.66	+	3.01	0.143	1.0	GO:0098876
memory (GO:0007613)	134	2	0.66	+	3.01	0.143	1.0	GO:0007613
intracellular calcium ion homeostasis (GO:0006874)	202	3	1.0	+	3.00	0.0791	1.0	GO:0006874
epithelial cell development (GO:0002064)	203	3	1.01	+	2.98	0.0801	1.0	GO:0002064
purine nucleoside triphosphate metabolic process (GO:0009144)	203	3	1.01	+	2.98	0.0801	1.0	GO:0009144
regulation of smooth muscle cell proliferation (GO:0048660)	136	2	0.67	+	2.97	0.146	1.0	GO:0048660
response to glucocorticoid (GO:0051384)	136	2	0.67	+	2.97	0.146	1.0	GO:0051384
negative regulation of cell-cell adhesion (GO:0022408)	204	3	1.01	+	2.97	0.081	1.0	GO:0022408
pyridine-containing compound metabolic process (GO:0072524)	136	2	0.67	+	2.97	0.146	1.0	GO:0072524
aerobic respiration (GO:0009060)	205	3	1.02	+	2.95	0.0819	1.0	GO:0009060
response to ethanol (GO:0045471)	137	2	0.68	+	2.95	0.148	1.0	GO:0045471
negative regulation of epithelial cell proliferation (GO:0050680)	137	2	0.68	+	2.95	0.148	1.0	GO:0050680
negative regulation of T cell activation (GO:0050868)	138	2	0.68	+	2.92	0.15	1.0	GO:0050868
actin filament organization (GO:0007015)	280	4	1.39	+	2.88	0.0507	1.0	GO:0007015
negative regulation of cell cycle (GO:0045786)	350	5	1.73	+	2.88	0.0302	1.0	GO:0045786
nephron development (GO:0072006)	141	2	0.7	+	2.86	0.155	1.0	GO:0072006
cellular response to decreased oxygen levels (GO:0036294)	141	2	0.7	+	2.86	0.155	1.0	GO:0036294
negative regulation of immune response (GO:0050777)	212	3	1.05	+	2.86	0.0885	1.0	GO:0050777
epigenetic regulation of gene expression (GO:0040029)	283	4	1.4	+	2.85	0.0523	1.0	GO:0040029
regulation of ERK1 and ERK2 cascade (GO:0070372)	283	4	1.4	+	2.85	0.0523	1.0	GO:0070372
camera-type eye morphogenesis (GO:0048593)	143	2	0.71	+	2.82	0.158	1.0	GO:0048593
striated muscle cell development (GO:0055002)	143	2	0.71	+	2.82	0.158	1.0	GO:0055002
positive regulation of organelle organization (GO:0010638)	503	7	2.49	+	2.81	0.0126	1.0	GO:0010638
positive regulation of chemotaxis (GO:0050921)	145	2	0.72	+	2.78	0.162	1.0	GO:0050921
renal system process (GO:0003014)	146	2	0.72	+	2.76	0.163	1.0	GO:0003014
purine ribonucleotide biosynthetic process (GO:0009152)	146	2	0.72	+	2.76	0.163	1.0	GO:0009152
muscle cell differentiation (GO:0042692)	293	4	1.45	+	2.75	0.058	1.0	GO:0042692
blood vessel morphogenesis (GO:0048514)	442	6	2.19	+	2.74	0.0227	1.0	GO:0048514
nucleoside triphosphate metabolic process (GO:0009141)	222	3	1.1	+	2.73	0.0982	1.0	GO:0009141
negative regulation of secretion by cell (GO:1903531)	148	2	0.73	+	2.73	0.167	1.0	GO:1903531
regulation of angiogenesis (GO:0045765)	297	4	1.47	+	2.72	0.0604	1.0	GO:0045765
negative regulation of leukocyte cell-cell adhesion (GO:1903038)	149	2	0.74	+	2.71	0.169	1.0	GO:1903038
regulation of actin polymerization or depolymerization (GO:0008064)	149	2	0.74	+	2.71	0.169	1.0	GO:0008064
generation of precursor metabolites and energy (GO:0006091)	374	5	1.85	+	2.70	0.0385	1.0	GO:0006091
nucleus organization (GO:0006997)	151	2	0.75	+	2.67	0.172	1.0	GO:0006997
regulation of vasculature development (GO:1901342)	304	4	1.51	+	2.65	0.0646	1.0	GO:1901342
regulation of actin filament length (GO:0030832)	152	2	0.75	+	2.65	0.174	1.0	GO:0030832
skeletal muscle tissue development (GO:0007519)	152	2	0.75	+	2.65	0.174	1.0	GO:0007519
striated muscle cell differentiation (GO:0051146)	230	3	1.14	+	2.63	0.106	1.0	GO:0051146
cellular respiration (GO:0045333)	231	3	1.14	+	2.62	0.107	1.0	GO:0045333
negative regulation of catalytic activity (GO:0043086)	154	2	0.76	+	2.62	0.178	1.0	GO:0043086
calcium ion homeostasis (GO:0055074)	233	3	1.15	+	2.60	0.109	1.0	GO:0055074
actin filament-based process (GO:0030029)	622	8	3.08	+	2.60	0.0122	1.0	GO:0030029
actin cytoskeleton organization (GO:0030036)	546	7	2.71	+	2.59	0.0189	1.0	GO:0030036
sensory perception of smell (GO:0007608)	469	6	2.32	+	2.58	0.0293	1.0	GO:0007608
cellular response to oxygen levels (GO:0071453)	157	2	0.78	+	2.57	0.183	1.0	GO:0071453
response to corticosteroid (GO:0031960)	157	2	0.78	+	2.57	0.183	1.0	GO:0031960
myeloid cell homeostasis (GO:0002262)	158	2	0.78	+	2.55	0.185	1.0	GO:0002262
positive regulation of cell migration (GO:0030335)	556	7	2.76	+	2.54	0.0207	1.0	GO:0030335
adult behavior (GO:0030534)	161	2	0.8	+	2.51	0.19	1.0	GO:0030534
positive regulation of endocytosis (GO:0045807)	161	2	0.8	+	2.51	0.19	1.0	GO:0045807
ribonucleotide biosynthetic process (GO:0009260)	162	2	0.8	+	2.49	0.192	1.0	GO:0009260
myeloid cell differentiation (GO:0030099)	326	4	1.62	+	2.48	0.079	1.0	GO:0030099
phagocytosis (GO:0006909)	164	2	0.81	+	2.46	0.195	1.0	GO:0006909
learning (GO:0007612)	164	2	0.81	+	2.46	0.195	1.0	GO:0007612
regulation of cell morphogenesis (GO:0022604)	246	3	1.22	+	2.46	0.123	1.0	GO:0022604
regulation of cell cycle process (GO:0010564)	740	9	3.67	+	2.45	0.0112	1.0	GO:0010564
positive regulation of angiogenesis (GO:0045766)	165	2	0.82	+	2.45	0.197	1.0	GO:0045766
regulation of lymphocyte proliferation (GO:0050670)	249	3	1.23	+	2.43	0.127	1.0	GO:0050670
skeletal muscle organ development (GO:0060538)	166	2	0.82	+	2.43	0.199	1.0	GO:0060538
positive regulation of cell motility (GO:2000147)	582	7	2.88	+	2.43	0.0257	1.0	GO:2000147
positive regulation of cell cycle (GO:0045787)	333	4	1.65	+	2.42	0.0838	1.0	GO:0045787
ribose phosphate biosynthetic process (GO:0046390)	168	2	0.83	+	2.40	0.203	1.0	GO:0046390
regulation of inflammatory response (GO:0050727)	421	5	2.09	+	2.40	0.0584	1.0	GO:0050727
regulation of mononuclear cell proliferation (GO:0032944)	253	3	1.25	+	2.39	0.131	1.0	GO:0032944
vacuolar transport (GO:0007034)	169	2	0.84	+	2.39	0.204	1.0	GO:0007034
positive regulation of vasculature development (GO:1904018)	169	2	0.84	+	2.39	0.204	1.0	GO:1904018
striated muscle tissue development (GO:0014706)	339	4	1.68	+	2.38	0.0881	1.0	GO:0014706
negative regulation of secretion (GO:0051048)	170	2	0.84	+	2.37	0.206	1.0	GO:0051048
endocytosis (GO:0006897)	512	6	2.54	+	2.36	0.042	1.0	GO:0006897
positive regulation of locomotion (GO:0040017)	599	7	2.97	+	2.36	0.0294	1.0	GO:0040017
ATP metabolic process (GO:0046034)	172	2	0.85	+	2.35	0.21	1.0	GO:0046034
membrane fusion (GO:0061025)	172	2	0.85	+	2.35	0.21	1.0	GO:0061025
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	259	3	1.28	+	2.34	0.138	1.0	GO:0007188
neuromuscular process (GO:0050905)	173	2	0.86	+	2.33	0.212	1.0	GO:0050905
regulation of endothelial cell migration (GO:0010594)	173	2	0.86	+	2.33	0.212	1.0	GO:0010594
autophagy (GO:0006914)	347	4	1.72	+	2.33	0.094	1.0	GO:0006914
process utilizing autophagic mechanism (GO:0061919)	347	4	1.72	+	2.33	0.094	1.0	GO:0061919
eye morphogenesis (GO:0048592)	174	2	0.86	+	2.32	0.213	1.0	GO:0048592
negative regulation of lymphocyte activation (GO:0051250)	174	2	0.86	+	2.32	0.213	1.0	GO:0051250
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	437	5	2.17	+	2.31	0.0663	1.0	GO:0050911
purine nucleotide biosynthetic process (GO:0006164)	175	2	0.87	+	2.31	0.215	1.0	GO:0006164
glycoprotein biosynthetic process (GO:0009101)	263	3	1.3	+	2.30	0.142	1.0	GO:0009101
regulation of tumor necrosis factor production (GO:0032680)	176	2	0.87	+	2.29	0.217	1.0	GO:0032680
regulation of cell cycle G1/S phase transition (GO:1902806)	176	2	0.87	+	2.29	0.217	1.0	GO:1902806
retina development in camera-type eye (GO:0060041)	178	2	0.88	+	2.27	0.221	1.0	GO:0060041
regulation of cell cycle (GO:0051726)	1073	12	5.32	+	2.26	0.011	1.0	GO:0051726
blood vessel development (GO:0001568)	537	6	2.66	+	2.25	0.0508	1.0	GO:0001568
muscle tissue development (GO:0060537)	358	4	1.77	+	2.25	0.102	1.0	GO:0060537
regulation of actin filament organization (GO:0110053)	269	3	1.33	+	2.25	0.149	1.0	GO:0110053
endosomal transport (GO:0016197)	269	3	1.33	+	2.25	0.149	1.0	GO:0016197
protein glycosylation (GO:0006486)	180	2	0.89	+	2.24	0.224	1.0	GO:0006486
macromolecule glycosylation (GO:0043413)	180	2	0.89	+	2.24	0.224	1.0	GO:0043413
negative regulation of cell cycle process (GO:0010948)	271	3	1.34	+	2.23	0.152	1.0	GO:0010948
regulation of tumor necrosis factor superfamily cytokine production (GO:1903555)	181	2	0.9	+	2.23	0.226	1.0	GO:1903555
regulation of cytoskeleton organization (GO:0051493)	544	6	2.7	+	2.23	0.0535	1.0	GO:0051493
single fertilization (GO:0007338)	183	2	0.91	+	2.21	0.23	1.0	GO:0007338
carbohydrate derivative biosynthetic process (GO:1901137)	549	6	2.72	+	2.21	0.0555	1.0	GO:1901137
small GTPase-mediated signal transduction (GO:0007264)	275	3	1.36	+	2.20	0.156	1.0	GO:0007264
sensory perception of chemical stimulus (GO:0007606)	550	6	2.73	+	2.20	0.0559	1.0	GO:0007606
camera-type eye development (GO:0043010)	367	4	1.82	+	2.20	0.11	1.0	GO:0043010
regulation of leukocyte proliferation (GO:0070663)	278	3	1.38	+	2.18	0.16	1.0	GO:0070663
negative regulation of gene expression, epigenetic (GO:0045814)	186	2	0.92	+	2.17	0.235	1.0	GO:0045814
vasculature development (GO:0001944)	562	6	2.79	+	2.15	0.0607	1.0	GO:0001944
cellular response to peptide hormone stimulus (GO:0071375)	282	3	1.4	+	2.15	0.165	1.0	GO:0071375
glycerophospholipid metabolic process (GO:0006650)	284	3	1.41	+	2.13	0.167	1.0	GO:0006650
glycosylation (GO:0070085)	190	2	0.94	+	2.12	0.243	1.0	GO:0070085
learning or memory (GO:0007611)	288	3	1.43	+	2.10	0.172	1.0	GO:0007611
cell-cell signaling (GO:0007267)	866	9	4.29	+	2.10	0.0403	1.0	GO:0007267
glycerophospholipid biosynthetic process (GO:0046474)	193	2	0.96	+	2.09	0.248	1.0	GO:0046474
regulation of neuron differentiation (GO:0045664)	194	2	0.96	+	2.08	0.25	1.0	GO:0045664
detection of chemical stimulus involved in sensory perception (GO:0050907)	485	5	2.4	+	2.08	0.0934	1.0	GO:0050907
response to hypoxia (GO:0001666)	292	3	1.45	+	2.07	0.177	1.0	GO:0001666
protein localization to plasma membrane (GO:0072659)	195	2	0.97	+	2.07	0.252	1.0	GO:0072659
multi-organism reproductive process (GO:0044703)	198	2	0.98	+	2.04	0.257	1.0	GO:0044703
cardiac muscle tissue development (GO:0048738)	198	2	0.98	+	2.04	0.257	1.0	GO:0048738
purine ribonucleotide metabolic process (GO:0009150)	297	3	1.47	+	2.04	0.183	1.0	GO:0009150
organophosphate catabolic process (GO:0046434)	199	2	0.99	+	2.03	0.259	1.0	GO:0046434
muscle system process (GO:0003012)	300	3	1.49	+	2.02	0.187	1.0	GO:0003012
meiotic cell cycle process (GO:1903046)	200	2	0.99	+	2.02	0.261	1.0	GO:1903046
negative regulation of cell adhesion (GO:0007162)	300	3	1.49	+	2.02	0.187	1.0	GO:0007162
regulation of protein polymerization (GO:0032271)	200	2	0.99	+	2.02	0.261	1.0	GO:0032271
tube morphogenesis (GO:0035239)	700	7	3.47	+	2.02	0.0882	1.0	GO:0035239
negative regulation of leukocyte activation (GO:0002695)	201	2	1.0	+	2.01	0.263	1.0	GO:0002695
positive regulation of protein-containing complex assembly (GO:0031334)	202	2	1.0	+	2.00	0.265	1.0	GO:0031334
response to decreased oxygen levels (GO:0036293)	305	3	1.51	+	1.98	0.193	1.0	GO:0036293
regulation of chemotaxis (GO:0050920)	205	2	1.02	+	1.97	0.27	1.0	GO:0050920
regulation of endocytosis (GO:0030100)	309	3	1.53	+	1.96	0.198	1.0	GO:0030100
multi-multicellular organism process (GO:0044706)	208	2	1.03	+	1.94	0.276	1.0	GO:0044706
negative regulation of mitotic cell cycle (GO:0045930)	208	2	1.03	+	1.94	0.276	1.0	GO:0045930
detection of chemical stimulus (GO:0009593)	522	5	2.59	+	1.93	0.118	1.0	GO:0009593
protein homooligomerization (GO:0051260)	209	2	1.04	+	1.93	0.278	1.0	GO:0051260
eye development (GO:0001654)	419	4	2.08	+	1.93	0.155	1.0	GO:0001654
establishment or maintenance of cell polarity (GO:0007163)	210	2	1.04	+	1.92	0.279	1.0	GO:0007163
cell division (GO:0051301)	527	5	2.61	+	1.91	0.192	1.0	GO:0051301
regulation of plasma membrane bounded cell projection assembly (GO:0120032)	211	2	1.05	+	1.91	0.281	1.0	GO:0120032
regulation of anatomical structure morphogenesis (GO:0022603)	845	8	4.19	+	1.91	0.0724	1.0	GO:0022603
visual system development (GO:0150063)	423	4	2.1	+	1.91	0.158	1.0	GO:0150063
nucleotide biosynthetic process (GO:0009165)	212	2	1.05	+	1.90	0.283	1.0	GO:0009165
ribonucleotide metabolic process (GO:0009259)	319	3	1.58	+	1.90	0.211	1.0	GO:0009259
muscle structure development (GO:0061061)	533	5	2.64	+	1.89	0.194	1.0	GO:0061061
regulation of cell projection assembly (GO:0060491)	214	2	1.06	+	1.89	0.287	1.0	GO:0060491
homeostasis of number of cells (GO:0048872)	322	3	1.6	+	1.88	0.214	1.0	GO:0048872
protein localization to membrane (GO:0072657)	322	3	1.6	+	1.88	0.214	1.0	GO:0072657
sensory system development (GO:0048880)	430	4	2.13	+	1.88	0.165	1.0	GO:0048880
regulation of synaptic plasticity (GO:0048167)	215	2	1.07	+	1.88	0.289	1.0	GO:0048167
locomotory behavior (GO:0007626)	215	2	1.07	+	1.88	0.289	1.0	GO:0007626
regulation of heart contraction (GO:0008016)	215	2	1.07	+	1.88	0.289	1.0	GO:0008016
cell adhesion (GO:0007155)	968	9	4.8	+	1.88	0.0581	1.0	GO:0007155
cell population proliferation (GO:0008283)	755	7	3.74	+	1.87	0.103	1.0	GO:0008283
glycerolipid biosynthetic process (GO:0045017)	216	2	1.07	+	1.87	0.29	1.0	GO:0045017
gland development (GO:0048732)	433	4	2.15	+	1.86	0.168	1.0	GO:0048732
protein phosphorylation (GO:0006468)	326	3	1.62	+	1.86	0.22	1.0	GO:0006468
regulation of MAPK cascade (GO:0043408)	652	6	3.23	+	1.86	0.142	1.0	GO:0043408
ribose phosphate metabolic process (GO:0019693)	326	3	1.62	+	1.86	0.22	1.0	GO:0019693
negative regulation of immune system process (GO:0002683)	546	5	2.71	+	1.85	0.199	1.0	GO:0002683
cell chemotaxis (GO:0060326)	220	2	1.09	+	1.83	0.298	1.0	GO:0060326
glycoprotein metabolic process (GO:0009100)	331	3	1.64	+	1.83	0.226	1.0	GO:0009100
negative regulation of cell cycle phase transition (GO:1901988)	221	2	1.1	+	1.83	0.3	1.0	GO:1901988
supramolecular fiber organization (GO:0097435)	555	5	2.75	+	1.82	0.203	1.0	GO:0097435
regulation of vesicle-mediated transport (GO:0060627)	555	5	2.75	+	1.82	0.203	1.0	GO:0060627
response to oxygen levels (GO:0070482)	333	3	1.65	+	1.82	0.229	1.0	GO:0070482
negative regulation of cell activation (GO:0050866)	223	2	1.11	+	1.81	0.303	1.0	GO:0050866
carbohydrate derivative metabolic process (GO:1901135)	894	8	4.43	+	1.81	0.0866	1.0	GO:1901135
fertilization (GO:0009566)	224	2	1.11	+	1.80	0.305	1.0	GO:0009566
cognition (GO:0050890)	337	3	1.67	+	1.80	0.234	1.0	GO:0050890
detection of stimulus involved in sensory perception (GO:0050906)	563	5	2.79	+	1.79	0.206	1.0	GO:0050906
