Ontology	Ref	Count	expected	Fold Enrichment	over_under	raw P-value	FDR	GOID
anterior/posterior pattern specification (GO:0009952)	218	2	0.53	+	3.78	0.0984	1.0	GO:0009952
nucleoside triphosphate metabolic process (GO:0009141)	222	2	0.54	+	3.71	0.101	1.0	GO:0009141
negative regulation of cell activation (GO:0050866)	223	2	0.54	+	3.69	0.102	1.0	GO:0050866
double-strand break repair (GO:0006302)	224	2	0.54	+	3.68	0.103	1.0	GO:0006302
microtubule-based transport (GO:0099111)	224	2	0.54	+	3.68	0.103	1.0	GO:0099111
response to molecule of bacterial origin (GO:0002237)	339	3	0.82	+	3.64	0.0492	1.0	GO:0002237
chromosome segregation (GO:0007059)	339	3	0.82	+	3.64	0.0492	1.0	GO:0007059
nuclear chromosome segregation (GO:0098813)	236	2	0.57	+	3.49	0.112	1.0	GO:0098813
regulation of innate immune response (GO:0045088)	483	4	1.17	+	3.41	0.0295	1.0	GO:0045088
regulation of translation (GO:0006417)	367	3	0.89	+	3.36	0.0596	1.0	GO:0006417
anatomical structure maturation (GO:0071695)	250	2	0.61	+	3.29	0.123	1.0	GO:0071695
positive regulation of cellular component biogenesis (GO:0044089)	516	4	1.25	+	3.19	0.0363	1.0	GO:0044089
meiotic cell cycle (GO:0051321)	262	2	0.64	+	3.14	0.133	1.0	GO:0051321
regulation of canonical Wnt signaling pathway (GO:0060828)	262	2	0.64	+	3.14	0.133	1.0	GO:0060828
positive regulation of cell cycle process (GO:0090068)	263	2	0.64	+	3.13	0.134	1.0	GO:0090068
regulation of cytokine production (GO:0001817)	807	6	1.96	+	3.06	0.0131	1.0	GO:0001817
rhythmic process (GO:0048511)	269	2	0.65	+	3.06	0.139	1.0	GO:0048511
negative regulation of response to external stimulus (GO:0032102)	404	3	0.98	+	3.06	0.0749	1.0	GO:0032102
negative regulation of immune system process (GO:0002683)	546	4	1.33	+	3.02	0.0433	1.0	GO:0002683
protein complex oligomerization (GO:0051259)	278	2	0.68	+	2.96	0.146	1.0	GO:0051259
immune response-regulating signaling pathway (GO:0002764)	417	3	1.01	+	2.96	0.0806	1.0	GO:0002764
regionalization (GO:0003002)	427	3	1.04	+	2.89	0.0851	1.0	GO:0003002
regulation of protein-containing complex assembly (GO:0043254)	427	3	1.04	+	2.89	0.0851	1.0	GO:0043254
ossification (GO:0001503)	286	2	0.69	+	2.88	0.153	1.0	GO:0001503
cellular response to lipid (GO:0071396)	572	4	1.39	+	2.88	0.0498	1.0	GO:0071396
skin development (GO:0043588)	286	2	0.69	+	2.88	0.153	1.0	GO:0043588
regulation of response to biotic stimulus (GO:0002831)	576	4	1.4	+	2.86	0.0509	1.0	GO:0002831
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	290	2	0.7	+	2.84	0.157	1.0	GO:0002768
intracellular monoatomic cation homeostasis (GO:0030003)	436	3	1.06	+	2.83	0.0893	1.0	GO:0030003
response to hypoxia (GO:0001666)	292	2	0.71	+	2.82	0.158	1.0	GO:0001666
microtubule cytoskeleton organization (GO:0000226)	585	4	1.42	+	2.81	0.0533	1.0	GO:0000226
intracellular monoatomic ion homeostasis (GO:0006873)	445	3	1.08	+	2.77	0.0936	1.0	GO:0006873
secretion by cell (GO:0032940)	446	3	1.08	+	2.77	0.0941	1.0	GO:0032940
plasma membrane bounded cell projection assembly (GO:0120031)	452	3	1.1	+	2.73	0.097	1.0	GO:0120031
developmental maturation (GO:0021700)	302	2	0.73	+	2.73	0.167	1.0	GO:0021700
cell junction assembly (GO:0034329)	304	2	0.74	+	2.71	0.169	1.0	GO:0034329
positive regulation of defense response (GO:0031349)	457	3	1.11	+	2.70	0.0994	1.0	GO:0031349
response to decreased oxygen levels (GO:0036293)	305	2	0.74	+	2.70	0.169	1.0	GO:0036293
negative regulation of cytokine production (GO:0001818)	308	2	0.75	+	2.67	0.172	1.0	GO:0001818
cell projection assembly (GO:0030031)	465	3	1.13	+	2.66	0.103	1.0	GO:0030031
positive regulation of innate immune response (GO:0045089)	312	2	0.76	+	2.64	0.175	1.0	GO:0045089
pattern specification process (GO:0007389)	476	3	1.16	+	2.59	0.109	1.0	GO:0007389
nuclear division (GO:0000280)	326	2	0.79	+	2.53	0.188	1.0	GO:0000280
positive regulation of cell cycle (GO:0045787)	333	2	0.81	+	2.47	0.194	1.0	GO:0045787
response to oxygen levels (GO:0070482)	333	2	0.81	+	2.47	0.194	1.0	GO:0070482
regulation of leukocyte differentiation (GO:1902105)	339	2	0.82	+	2.43	0.199	1.0	GO:1902105
positive regulation of lymphocyte activation (GO:0051251)	339	2	0.82	+	2.43	0.199	1.0	GO:0051251
wound healing (GO:0042060)	339	2	0.82	+	2.43	0.199	1.0	GO:0042060
regulation of Wnt signaling pathway (GO:0030111)	340	2	0.83	+	2.42	0.2	1.0	GO:0030111
post-transcriptional regulation of gene expression (GO:0010608)	510	3	1.24	+	2.42	0.127	1.0	GO:0010608
immune response-activating signaling pathway (GO:0002757)	341	2	0.83	+	2.41	0.201	1.0	GO:0002757
endocytosis (GO:0006897)	512	3	1.24	+	2.41	0.128	1.0	GO:0006897
positive regulation of response to biotic stimulus (GO:0002833)	342	2	0.83	+	2.41	0.202	1.0	GO:0002833
export from cell (GO:0140352)	516	3	1.25	+	2.39	0.13	1.0	GO:0140352
regulation of defense response (GO:0031347)	863	5	2.1	+	2.38	0.0575	1.0	GO:0031347
monoatomic cation homeostasis (GO:0055080)	518	3	1.26	+	2.38	0.131	1.0	GO:0055080
monoatomic ion transmembrane transport (GO:0034220)	864	5	2.1	+	2.38	0.0578	1.0	GO:0034220
epidermis development (GO:0008544)	346	2	0.84	+	2.38	0.205	1.0	GO:0008544
establishment of organelle localization (GO:0051656)	348	2	0.85	+	2.37	0.207	1.0	GO:0051656
negative regulation of cell cycle (GO:0045786)	350	2	0.85	+	2.35	0.209	1.0	GO:0045786
angiogenesis (GO:0001525)	352	2	0.86	+	2.34	0.211	1.0	GO:0001525
monoatomic ion homeostasis (GO:0050801)	529	3	1.29	+	2.33	0.137	1.0	GO:0050801
monoatomic cation transmembrane transport (GO:0098655)	706	4	1.72	+	2.33	0.0918	1.0	GO:0098655
organelle fission (GO:0048285)	354	2	0.86	+	2.33	0.212	1.0	GO:0048285
cilium assembly (GO:0060271)	357	2	0.87	+	2.31	0.215	1.0	GO:0060271
microtubule-based process (GO:0007017)	897	5	2.18	+	2.29	0.0657	1.0	GO:0007017
vesicle organization (GO:0016050)	361	2	0.88	+	2.28	0.219	1.0	GO:0016050
regulation of cytoskeleton organization (GO:0051493)	544	3	1.32	+	2.27	0.146	1.0	GO:0051493
membraneless organelle assembly (GO:0140694)	363	2	0.88	+	2.27	0.22	1.0	GO:0140694
regulation of vesicle-mediated transport (GO:0060627)	555	3	1.35	+	2.22	0.152	1.0	GO:0060627
purine nucleotide metabolic process (GO:0006163)	372	2	0.9	+	2.21	0.229	1.0	GO:0006163
positive regulation of leukocyte activation (GO:0002696)	372	2	0.9	+	2.21	0.229	1.0	GO:0002696
mononuclear cell differentiation (GO:1903131)	373	2	0.91	+	2.21	0.229	1.0	GO:1903131
secretion (GO:0046903)	570	3	1.38	+	2.17	0.161	1.0	GO:0046903
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	382	2	0.93	+	2.15	0.238	1.0	GO:0043161
positive regulation of response to external stimulus (GO:0032103)	582	3	1.41	+	2.12	0.168	1.0	GO:0032103
intracellular chemical homeostasis (GO:0055082)	585	3	1.42	+	2.11	0.169	1.0	GO:0055082
regulation of supramolecular fiber organization (GO:1902903)	390	2	0.95	+	2.11	0.245	1.0	GO:1902903
cilium organization (GO:0044782)	391	2	0.95	+	2.11	0.246	1.0	GO:0044782
positive regulation of cell activation (GO:0050867)	391	2	0.95	+	2.11	0.246	1.0	GO:0050867
inorganic ion transmembrane transport (GO:0098660)	782	4	1.9	+	2.11	0.121	1.0	GO:0098660
positive regulation of gene expression (GO:0010628)	1197	6	2.91	+	2.06	0.0688	1.0	GO:0010628
innate immune response (GO:0045087)	800	4	1.94	+	2.06	0.129	1.0	GO:0045087
cytokine-mediated signaling pathway (GO:0019221)	402	2	0.98	+	2.05	0.256	1.0	GO:0019221
activation of immune response (GO:0002253)	406	2	0.99	+	2.03	0.259	1.0	GO:0002253
regulation of immune effector process (GO:0002697)	414	2	1.01	+	1.99	0.266	1.0	GO:0002697
monoatomic ion transport (GO:0006811)	1037	5	2.52	+	1.98	0.106	1.0	GO:0006811
establishment of localization in cell (GO:0051649)	1662	8	4.04	+	1.98	0.0604	1.0	GO:0051649
regulation of response to stress (GO:0080134)	1455	7	3.53	+	1.98	0.0861	1.0	GO:0080134
regulation of cellular component biogenesis (GO:0044087)	1045	5	2.54	+	1.97	0.109	1.0	GO:0044087
positive regulation of immune system process (GO:0002684)	1045	5	2.54	+	1.97	0.109	1.0	GO:0002684
regulation of inflammatory response (GO:0050727)	421	2	1.02	+	1.96	0.273	1.0	GO:0050727
chromosome organization (GO:0051276)	423	2	1.03	+	1.95	0.275	1.0	GO:0051276
monoatomic cation transport (GO:0006812)	847	4	2.06	+	1.94	0.149	1.0	GO:0006812
regulation of hemopoiesis (GO:1903706)	425	2	1.03	+	1.94	0.276	1.0	GO:1903706
cytoskeleton organization (GO:0007010)	1279	6	3.11	+	1.93	0.129	1.0	GO:0007010
regulation of cell cycle (GO:0051726)	1073	5	2.61	+	1.92	0.186	1.0	GO:0051726
amide metabolic process (GO:0043603)	431	2	1.05	+	1.91	0.282	1.0	GO:0043603
nucleotide metabolic process (GO:0009117)	434	2	1.05	+	1.90	0.284	1.0	GO:0009117
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	437	2	1.06	+	1.88	0.287	1.0	GO:0050911
leukocyte differentiation (GO:0002521)	438	2	1.06	+	1.88	0.288	1.0	GO:0002521
blood vessel morphogenesis (GO:0048514)	442	2	1.07	+	1.86	0.292	1.0	GO:0048514
cell surface receptor protein tyrosine kinase signaling pathway (GO:0007169)	443	2	1.08	+	1.86	0.293	1.0	GO:0007169
sexual reproduction (GO:0019953)	1108	5	2.69	+	1.86	0.193	1.0	GO:0019953
response to lipid (GO:0033993)	891	4	2.16	+	1.85	0.17	1.0	GO:0033993
regulation of response to external stimulus (GO:0032101)	1122	5	2.73	+	1.83	0.196	1.0	GO:0032101
positive regulation of cellular component organization (GO:0051130)	1127	5	2.74	+	1.83	0.197	1.0	GO:0051130
defense response to symbiont (GO:0140546)	908	4	2.21	+	1.81	0.282	1.0	GO:0140546
organelle assembly (GO:0070925)	910	4	2.21	+	1.81	0.283	1.0	GO:0070925
epithelium development (GO:0060429)	1139	5	2.77	+	1.81	0.199	1.0	GO:0060429
response to wounding (GO:0009611)	457	2	1.11	+	1.80	0.305	1.0	GO:0009611
microtubule-based movement (GO:0007018)	458	2	1.11	+	1.80	0.306	1.0	GO:0007018
positive regulation of immune response (GO:0050778)	689	3	1.67	+	1.79	0.234	1.0	GO:0050778
inorganic cation transmembrane transport (GO:0098662)	690	3	1.68	+	1.79	0.235	1.0	GO:0098662
defense response to other organism (GO:0098542)	924	4	2.24	+	1.78	0.286	1.0	GO:0098542
positive regulation of signal transduction (GO:0009967)	1619	7	3.93	+	1.78	0.112	1.0	GO:0009967
positive regulation of response to stimulus (GO:0048584)	2316	10	5.63	+	1.78	0.068	1.0	GO:0048584
male gamete generation (GO:0048232)	698	3	1.7	+	1.77	0.24	1.0	GO:0048232
chordate embryonic development (GO:0043009)	698	3	1.7	+	1.77	0.24	1.0	GO:0043009
proteasomal protein catabolic process (GO:0010498)	468	2	1.14	+	1.76	0.315	1.0	GO:0010498
cellular homeostasis (GO:0019725)	703	3	1.71	+	1.76	0.243	1.0	GO:0019725
sensory perception of smell (GO:0007608)	469	2	1.14	+	1.76	0.316	1.0	GO:0007608
response to bacterium (GO:0009617)	704	3	1.71	+	1.75	0.244	1.0	GO:0009617
negative regulation of programmed cell death (GO:0043069)	939	4	2.28	+	1.75	0.29	1.0	GO:0043069
phosphate-containing compound metabolic process (GO:0006796)	1412	6	3.43	+	1.75	0.154	1.0	GO:0006796
import into cell (GO:0098657)	706	3	1.72	+	1.75	0.245	1.0	GO:0098657
phosphorus metabolic process (GO:0006793)	1415	6	3.44	+	1.75	0.155	1.0	GO:0006793
embryo development ending in birth or egg hatching (GO:0009792)	717	3	1.74	+	1.72	0.253	1.0	GO:0009792
plasma membrane bounded cell projection organization (GO:0120036)	1197	5	2.91	+	1.72	0.214	1.0	GO:0120036
cell migration (GO:0016477)	958	4	2.33	+	1.72	0.295	1.0	GO:0016477
positive regulation of multicellular organismal process (GO:0051240)	1678	7	4.08	+	1.72	0.124	1.0	GO:0051240
detection of chemical stimulus involved in sensory perception (GO:0050907)	485	2	1.18	+	1.70	0.33	1.0	GO:0050907
response to other organism (GO:0051707)	1457	6	3.54	+	1.69	0.165	1.0	GO:0051707
morphogenesis of an epithelium (GO:0002009)	486	2	1.18	+	1.69	0.331	1.0	GO:0002009
response to external biotic stimulus (GO:0043207)	1460	6	3.55	+	1.69	0.166	1.0	GO:0043207
immune effector process (GO:0002252)	500	2	1.21	+	1.65	0.344	1.0	GO:0002252
anatomical structure formation involved in morphogenesis (GO:0048646)	1001	4	2.43	+	1.64	0.307	1.0	GO:0048646
cellular response to cytokine stimulus (GO:0071345)	751	3	1.82	+	1.64	0.431	1.0	GO:0071345
cell projection organization (GO:0030030)	1252	5	3.04	+	1.64	0.23	1.0	GO:0030030
cellular localization (GO:0051641)	2008	8	4.88	+	1.64	0.147	1.0	GO:0051641
response to biotic stimulus (GO:0009607)	1507	6	3.66	+	1.64	0.179	1.0	GO:0009607
positive regulation of organelle organization (GO:0010638)	503	2	1.22	+	1.64	0.346	1.0	GO:0010638
defense response (GO:0006952)	1527	6	3.71	+	1.62	0.27	1.0	GO:0006952
purine-containing compound metabolic process (GO:0072521)	509	2	1.24	+	1.62	0.352	1.0	GO:0072521
mitotic cell cycle process (GO:1903047)	512	2	1.24	+	1.61	0.354	1.0	GO:1903047
regulation of immune response (GO:0050776)	1033	4	2.51	+	1.59	0.317	1.0	GO:0050776
transmembrane transport (GO:0055085)	1299	5	3.16	+	1.58	0.245	1.0	GO:0055085
positive regulation of cell communication (GO:0010647)	1822	7	4.43	+	1.58	0.207	1.0	GO:0010647
positive regulation of signaling (GO:0023056)	1823	7	4.43	+	1.58	0.207	1.0	GO:0023056
regulation of lymphocyte activation (GO:0051249)	522	2	1.27	+	1.58	0.363	1.0	GO:0051249
detection of chemical stimulus (GO:0009593)	522	2	1.27	+	1.58	0.363	1.0	GO:0009593
lymphocyte activation (GO:0046649)	522	2	1.27	+	1.58	0.363	1.0	GO:0046649
reproductive process (GO:0022414)	1569	6	3.81	+	1.57	0.276	1.0	GO:0022414
cell division (GO:0051301)	527	2	1.28	+	1.56	0.368	1.0	GO:0051301
negative regulation of gene expression (GO:0010629)	1056	4	2.57	+	1.56	0.325	1.0	GO:0010629
vesicle-mediated transport (GO:0016192)	1321	5	3.21	+	1.56	0.252	1.0	GO:0016192
DNA repair (GO:0006281)	531	2	1.29	+	1.55	0.371	1.0	GO:0006281
blood vessel development (GO:0001568)	537	2	1.3	+	1.53	0.376	1.0	GO:0001568
positive regulation of biosynthetic process (GO:0009891)	2688	10	6.53	+	1.53	0.143	1.0	GO:0009891
regulation of cellular response to stress (GO:0080135)	540	2	1.31	+	1.52	0.379	1.0	GO:0080135
biological process involved in interspecies interaction between organisms (GO:0044419)	1627	6	3.95	+	1.52	0.286	1.0	GO:0044419
negative regulation of protein metabolic process (GO:0051248)	546	2	1.33	+	1.51	0.384	1.0	GO:0051248
sensory perception of chemical stimulus (GO:0007606)	550	2	1.34	+	1.50	0.388	1.0	GO:0007606
organelle localization (GO:0051640)	552	2	1.34	+	1.49	0.389	1.0	GO:0051640
regulation of immune system process (GO:0002682)	1661	6	4.04	+	1.49	0.294	1.0	GO:0002682
vasculature development (GO:0001944)	562	2	1.37	+	1.46	0.398	1.0	GO:0001944
detection of stimulus involved in sensory perception (GO:0050906)	563	2	1.37	+	1.46	0.399	1.0	GO:0050906
ubiquitin-dependent protein catabolic process (GO:0006511)	565	2	1.37	+	1.46	0.401	1.0	GO:0006511
response to cytokine (GO:0034097)	848	3	2.06	+	1.46	0.462	1.0	GO:0034097
establishment of localization (GO:0051234)	3962	14	9.63	+	1.45	0.148	1.0	GO:0051234
regulation of phosphate metabolic process (GO:0019220)	568	2	1.38	+	1.45	0.403	1.0	GO:0019220
positive regulation of transport (GO:0051050)	853	3	2.07	+	1.45	0.463	1.0	GO:0051050
regulation of phosphorus metabolic process (GO:0051174)	569	2	1.38	+	1.45	0.404	1.0	GO:0051174
regulation of hormone levels (GO:0010817)	569	2	1.38	+	1.45	0.404	1.0	GO:0010817
positive regulation of macromolecule biosynthetic process (GO:0010557)	2567	9	6.24	+	1.44	0.279	1.0	GO:0010557
organophosphate biosynthetic process (GO:0090407)	572	2	1.39	+	1.44	0.651	1.0	GO:0090407
neurogenesis (GO:0022008)	1433	5	3.48	+	1.44	0.395	1.0	GO:0022008
cell junction organization (GO:0034330)	574	2	1.39	+	1.43	0.651	1.0	GO:0034330
transport (GO:0006810)	3735	13	9.07	+	1.43	0.145	1.0	GO:0006810
gamete generation (GO:0007276)	863	3	2.1	+	1.43	0.467	1.0	GO:0007276
modification-dependent protein catabolic process (GO:0019941)	576	2	1.4	+	1.43	0.652	1.0	GO:0019941
response to peptide (GO:1901652)	865	3	2.1	+	1.43	0.468	1.0	GO:1901652
modification-dependent macromolecule catabolic process (GO:0043632)	581	2	1.41	+	1.42	0.653	1.0	GO:0043632
regulation of secretion by cell (GO:1903530)	584	2	1.42	+	1.41	0.654	1.0	GO:1903530
nucleoside phosphate metabolic process (GO:0006753)	588	2	1.43	+	1.40	0.655	1.0	GO:0006753
regulation of transcription by RNA polymerase II (GO:0006357)	2649	9	6.44	+	1.40	0.287	1.0	GO:0006357
endomembrane system organization (GO:0010256)	590	2	1.43	+	1.40	0.655	1.0	GO:0010256
regulation of leukocyte activation (GO:0002694)	590	2	1.43	+	1.40	0.655	1.0	GO:0002694
regulation of protein metabolic process (GO:0051246)	1479	5	3.59	+	1.39	0.406	1.0	GO:0051246
regulation of response to stimulus (GO:0048583)	4142	14	10.06	+	1.39	0.161	1.0	GO:0048583
mitotic cell cycle (GO:0000278)	592	2	1.44	+	1.39	0.656	1.0	GO:0000278
regulation of organelle organization (GO:0033043)	1186	4	2.88	+	1.39	0.534	1.0	GO:0033043
cell motility (GO:0048870)	1191	4	2.89	+	1.38	0.534	1.0	GO:0048870
carbohydrate derivative metabolic process (GO:1901135)	894	3	2.17	+	1.38	0.479	1.0	GO:1901135
protein ubiquitination (GO:0016567)	600	2	1.46	+	1.37	0.658	1.0	GO:0016567
negative regulation of apoptotic process (GO:0043066)	901	3	2.19	+	1.37	0.482	1.0	GO:0043066
inflammatory response (GO:0006954)	601	2	1.46	+	1.37	0.658	1.0	GO:0006954
cell cycle process (GO:0022402)	906	3	2.2	+	1.36	0.484	1.0	GO:0022402
tissue development (GO:0009888)	1814	6	4.41	+	1.36	0.447	1.0	GO:0009888
tissue morphogenesis (GO:0048729)	605	2	1.47	+	1.36	0.659	1.0	GO:0048729
localization (GO:0051179)	4565	15	11.09	+	1.35	0.176	1.0	GO:0051179
neuron development (GO:0048666)	916	3	2.23	+	1.35	0.488	1.0	GO:0048666
nucleobase-containing small molecule metabolic process (GO:0055086)	612	2	1.49	+	1.35	0.661	1.0	GO:0055086
regulation of gene expression (GO:0010468)	4913	16	11.94	+	1.34	0.185	1.0	GO:0010468
homeostatic process (GO:0042592)	1539	5	3.74	+	1.34	0.421	1.0	GO:0042592
organelle organization (GO:0006996)	3084	10	7.49	+	1.33	0.32	1.0	GO:0006996
generation of neurons (GO:0048699)	1235	4	3.0	+	1.33	0.542	1.0	GO:0048699
