Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	GOID	Count
Negative Regulation of Transcription by RNA Polymerase II (GO:0000122)	5/732	0.03540234913854	0.1682880179272523	0	0	2.9379489530796272	9.81562017672873	MAGEE2;PHF21A;MAGEA4;MTDH;NR2F6	GO:0000122	5
Negative Regulation of DNA-templated Transcription (GO:0045892)	6/1006	0.0385180236111136	0.1682880179272523	0	0	2.584090909090909	8.415425397035257	MAGEE2;PASD1;PHF21A;MAGEA4;MTDH;NR2F6	GO:0045892	6
Cellular Response to Lipopolysaccharide (GO:0071222)	2/125	0.0390617280151273	0.1682880179272523	0	0	6.716463414634147	21.77888563484535	PLCG2;MTDH	GO:0071222	2
Regulation of Tumor Necrosis Factor Production (GO:0032680)	2/131	0.0425157677463691	0.1682880179272523	0	0	6.4021317829457365	20.217165618082923	MAVS;PLCG2	GO:0032680	2
Positive Regulation of Cytokine Production (GO:0001819)	3/325	0.0475882879545182	0.1682880179272523	0	0	3.890841813135985	11.84826931457884	MAVS;IL26;PLCG2	GO:0001819	3
Positive Regulation of ERK1 and ERK2 Cascade (GO:0070374)	2/153	0.0560960059757507	0.1682880179272523	0	0	5.463300220750551	15.73807793899423	IL26;APOE	GO:0070374	2
Regulation of Cellular Component Organization (GO:0051128)	2/159	0.060032623780291	0.1733380384503462	0	0	5.25291932059448	14.77576411894998	APOE;PAPPA2	GO:0051128	2
Positive Regulation of MAPK Cascade (GO:0043410)	3/362	0.0617872914832211	0.1733380384503462	0	0	3.483257274936289	9.69758880229204	IL26;PLCG2;APOE	GO:0043410	3
+ Reg of Phosphatidylinositol 3-Kinase/Prot Kinase B Signal Transduction (GO:0051897)	2/162	0.0620359971863136	0.1733380384503462	0	0	5.153645833333333	14.327343946785978	IL26;MTDH	GO:0051897	2
Protein Localization (GO:0008104)	3/371	0.065510771195163	0.1733380384503462	0	0	3.396507863089732	9.257320432758746	ANO1;NMT2;SEPTIN4	GO:0008104	3
Protein Metabolic Process (GO:0019538)	4/614	0.0668889436421575	0.1733380384503462	0	0	2.7569493941553813	7.456780555634805	RPS4X;APOE;CTSE;PAPPA2	GO:0019538	4
Positive Regulation of Cellular Process (GO:0048522)	4/622	0.069453255289755	0.1733380384503462	0	0	2.720135078092022	7.254875907564653	RPS4X;GDF9;CCAR1;MAGEA4	GO:0048522	4
Macromolecule Biosynthetic Process (GO:0009059)	2/189	0.0810402447075638	0.1790806635687989	0	0	4.403520499108734	11.065207700859313	RPS4X;APOE	GO:0009059	2
Positive Regulation of Multicellular Organismal Process (GO:0051240)	3/407	0.0814085446932981	0.1790806635687989	0	0	3.08816094375395	7.745957014166992	NCOA2;IL26;APOE	GO:0051240	3
Protein Localization to Membrane (GO:0072657)	2/199	0.0884858252339979	0.1826633318526471	0	0	4.177876480541455	10.130986600028606	ANO1;NMT2	GO:0072657	2
Transcription by RNA Polymerase II (GO:0006366)	2/200	0.0892414542606553	0.1830149206339161	0	0	4.156565656565657	10.043965211617904	NCOA2;GTF2H4	GO:0006366	2
Positive Regulation of Protein Metabolic Process (GO:0051247)	2/202	0.0907585666054427	0.1830149206339161	0	0	4.114583333333333	9.87315836367001	RPS4X;APOE	GO:0051247	2
Positive Regulation of Canonical NF-kappaB Signal Transduction (GO:0043123)	2/204	0.0922833915179302	0.1830149206339161	0	0	4.073432343234323	9.706545652223769	MAVS;MTDH	GO:0043123	2
Positive Regulation of Gene Expression (GO:0010628)	3/436	0.0953225219254631	0.1830149206339161	0	0	2.8770576384452853	6.762492819588901	RPS4X;IL26;PLCG2	GO:0010628	3
Regulation of Apoptotic Process (GO:0042981)	4/704	0.0986081218804714	0.1849041902961541	0	0	2.391304347826087	5.539699594844227	SEPTIN4;CCAR1;MAGEA4;MTDH	GO:0042981	4
Regulation of Phosphatidylinositol 3-Kinase/Protein Kinase B Signal Transduction (GO:0051896)	2/219	0.1039543502969196	0.1875713491513934	0	0	3.788978494623656	8.577502457974575	IL26;MTDH	GO:0051896	2
Ubiquitin-Dependent Protein Catabolic Process (GO:0006511)	3/455	0.1049387109909357	0.1875713491513934	0	0	2.7534362643569947	6.207288352792487	PSMA3;KBTBD8;CCAR1	GO:0006511	3
Regulation of ERK1 and ERK2 Cascade (GO:0070372)	2/223	0.1071330143290659	0.1875713491513934	0	0	3.719645550527904	8.30851309405225	IL26;APOE	GO:0070372	2
Translation (GO:0006412)	2/232	0.1143801446099869	0.1913667804051704	0	0	3.572463768115942	7.745915171502187	RPS4X;MRPL33	GO:0006412	2
Positive Regulation of Cell Population Proliferation (GO:0008284)	3/484	0.1203264828920031	0.1938593335482272	0	0	2.583580306984562	5.470851539384675	RPS4X;GDF9;CCAR1	GO:0008284	3
Positive Regulation of Developmental Process (GO:0051094)	2/245	0.1250653167238482	0.197232916404377	0	0	3.3791152263374484	7.024907335039041	NCOA2;APOE	GO:0051094	2
Positive Regulation of Programmed Cell Death (GO:0043068)	2/248	0.1275651384075544	0.1987731410410251	0	0	3.33739837398374	6.872130957563434	SEPTIN4;CCAR1	GO:0043068	2
Regulation of Inflammatory Response (GO:0050727)	2/249	0.1284011130015267	0.1988816314992221	0	0	3.323717948717949	6.822250896314676	NKG7;APOE	GO:0050727	2
Negative Regulation of Signal Transduction (GO:0009968)	2/277	0.1523078472737738	0.2211386270646586	0	0	2.981060606060606	5.609913359099665	NCOA2;FSTL3	GO:0009968	2
DNA Repair (GO:0006281)	2/302	0.1743414000182094	0.2407571714537178	0	0	2.7291666666666665	4.767144127673996	GTF2H4;PMS1	GO:0006281	2
Positive Regulation of Apoptotic Process (GO:0043065)	2/313	0.1841999199873407	0.2497463850217971	0	0	2.6311629153269025	4.451226683411255	SEPTIN4;CCAR1	GO:0043065	2
Proteolysis (GO:0006508)	2/321	0.1914223619241526	0.2556960227774447	0	0	2.5641327063740857	4.239211303475318	CTSE;PAPPA2	GO:0006508	2
Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161)	2/340	0.2087253185553788	0.2707896740980383	0	0	2.4176528599605525	3.787824150065482	PSMA3;KBTBD8	GO:0043161	2
Positive Regulation of DNA-templated Transcription (GO:0045893)	5/1274	0.2116132736220271	0.2710711375271857	0	0	1.6356711321250328	2.5401888464183315	NCOA2;MAVS;IL26;APOE;FSTL3	GO:0045893	5
Positive Regulation of Cell Migration (GO:0030335)	2/344	0.2123909870663198	0.2710711375271857	0	0	2.388888888888889	3.701168680246136	PLCG2;CCAR1	GO:0030335	2
Positive Regulation of Transcription by RNA Polymerase II (GO:0045944)	4/983	0.2302320119901754	0.2814545907701911	0	0	1.6850379713105654	2.4747608935012426	NCOA2;MAVS;IL26;FSTL3	GO:0045944	4
Protein Ubiquitination (GO:0016567)	2/369	0.2354374823833979	0.2852359476992908	0	0	2.223319709355132	3.215609236148146	KBTBD8;CCAR1	GO:0016567	2
Proteasomal Protein Catabolic Process (GO:0010498)	2/372	0.2382155654875541	0.2871790419965433	0	0	2.204954954954955	3.1631826870825326	PSMA3;KBTBD8	GO:0010498	2
Negative Regulation of Cell Population Proliferation (GO:0008285)	2/379	0.24470533557908	0.2907435465892266	0	0	2.163240495137047	3.045194735705852	IL26;APOE	GO:0008285	2
Negative Regulation of Programmed Cell Death (GO:0043069)	2/382	0.2474894792996665	0.2912694549379102	0	0	2.145833333333333	2.996414212353591	MAGEA4;MTDH	GO:0043069	2
Regulation of Cell Population Proliferation (GO:0042127)	3/769	0.3018656222740815	0.3395988250583416	0	0	1.598577856785734	1.914733906782196	RPS4X;GDF9;CCAR1	GO:0042127	3
Negative Regulation of Apoptotic Process (GO:0043066)	2/475	0.3337305522763588	0.3690833650174984	0	0	1.7157329105003525	1.8828819119512192	MAGEA4;MTDH	GO:0043066	2
Regulation of DNA-templated Transcription (GO:0006355)	6/2139	0.4481623119574809	0.4688190918673447	0	0	1.139048714998082	0.91420028076506	NCOA2;SALL3;PASD1;APOE;MTDH;FSTL3	GO:0006355	6
Regulation of Gene Expression (GO:0010468)	3/1127	0.5405697083303895	0.5565628949673833	0	0	1.0690921481032785	0.6576324492817172	NCOA2;PLCG2;APOE	GO:0010468	3
