Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	GOID	Count
+ Reg of Myeloid Leukocyte Cytokine Production Inv in Imm Resp (GO:0061081)	2/16	0.0108884250018907	0.3053688494795557	0	0	14.275613275613276	64.52655688502057	MAVS;PLCG2	GO:0061081	2
Lipopolysaccharide-Mediated Signaling Pathway (GO:0031663)	2/16	0.0108884250018907	0.3053688494795557	0	0	14.275613275613276	64.52655688502057	PLCG2;MTDH	GO:0031663	2
Negative Regulation of Protein Serine/Threonine Kinase Activity (GO:0071901)	3/46	0.0109060303385555	0.3053688494795557	0	0	6.996930704757408	31.61520738006147	PTEN;APOE;NR2F2	GO:0071901	3
Positive Regulation of Nucleocytoplasmic Transport (GO:0046824)	3/46	0.0109060303385555	0.3053688494795557	0	0	6.996930704757408	31.61520738006147	MAVS;DHX9;CHP2	GO:0046824	3
Regulation of Endothelial Cell Proliferation (GO:0001936)	4/87	0.0113321247206512	0.3110779335080731	0	0	4.848045242193263	21.71979386421627	ATP5F1A;HTR2B;APOE;NR2F2	GO:0001936	4
Stem Cell Differentiation (GO:0048863)	3/47	0.0115653119162109	0.3113737823595245	0	0	6.83756345177665	30.49378950483647	HTR2B;CTNNB1;MEOX1	GO:0048863	3
Regulation of Exocytosis (GO:0017157)	3/48	0.0122470965035044	0.3132386435658806	0	0	6.685279187817259	29.431716933517144	NSF;SEPTIN4;CFTR	GO:0017157	3
Cellular Response to dsRNA (GO:0071359)	2/17	0.0122596808748648	0.3132386435658806	0	0	13.323232323232324	58.64139939765107	MAVS;DHX9	GO:0071359	2
Phosphatidylinositol Biosynthetic Process (GO:0006661)	4/91	0.0131959709139781	0.3132386435658806	0	0	4.62420830401126	20.012850913677784	ITPKB;PTEN;PLCG2;PIP4K2A	GO:0006661	4
Regulation of Defense Response to Virus (GO:0050688)	2/18	0.0137022045657748	0.3132386435658806	0	0	12.48989898989899	53.58414643474309	DHX9;ELMOD2	GO:0050688	2
Neural Crest Cell Differentiation (GO:0014033)	2/18	0.0137022045657748	0.3132386435658806	0	0	12.48989898989899	53.58414643474309	HTR2B;KBTBD8	GO:0014033	2
Synaptic Transmission, Cholinergic (GO:0007271)	2/18	0.0137022045657748	0.3132386435658806	0	0	12.48989898989899	53.58414643474309	CHRNA3;APOE	GO:0007271	2
Positive Regulation of Homotypic Cell-Cell Adhesion (GO:0034112)	2/18	0.0137022045657748	0.3132386435658806	0	0	12.48989898989899	53.58414643474309	CTNNB1;F11R	GO:0034112	2
Extracellular Matrix Assembly (GO:0085029)	2/18	0.0137022045657748	0.3132386435658806	0	0	12.48989898989899	53.58414643474309	DDX18;HAS3	GO:0085029	2
Regulation of Activin Receptor Signaling Pathway (GO:0032925)	2/18	0.0137022045657748	0.3132386435658806	0	0	12.48989898989899	53.58414643474309	ACVR2A;FSTL3	GO:0032925	2
Regulation of Secretion by Cell (GO:1903530)	3/51	0.0144285702203611	0.3132386435658806	0	0	6.266497461928934	26.5608314530226	NSF;CAMK2A;SEPTIN4	GO:1903530	3
Mitochondrial Translation (GO:0032543)	4/94	0.0147147933134764	0.3132386435658806	0	0	4.469387755102041	18.85590868567605	MRPS35;MRPL36;MRPS30;MRPL33	GO:0032543	4
Glycoprotein Metabolic Process (GO:0009100)	3/52	0.0152014163710364	0.3132386435658806	0	0	6.1382989744121	25.69717025640832	NEU2;FBXO2;MGAT4A	GO:0009100	3
Nuclear Envelope Organization (GO:0006998)	2/19	0.0152144484017713	0.3132386435658806	0	0	11.754604872251932	49.19901329869125	REEP4;LMNB1	GO:0006998	2
cGMP-mediated Signaling (GO:0019934)	2/19	0.0152144484017713	0.3132386435658806	0	0	11.754604872251932	49.19901329869125	HTR2B;APOE	GO:0019934	2
Glycoprotein Catabolic Process (GO:0006516)	2/19	0.0152144484017713	0.3132386435658806	0	0	11.754604872251932	49.19901329869125	NEU2;FBXO2	GO:0006516	2
Regulation of Behavior (GO:0050795)	2/19	0.0152144484017713	0.3132386435658806	0	0	11.754604872251932	49.19901329869125	HTR2B;APOE	GO:0050795	2
Regulation of Transcription by RNA Polymerase II (GO:0006357)	33/2250	0.0156252489336114	0.3170340363341457	0	0	1.5672011862607669	6.517781533700728	MAGEH1;ENY2;DHX9;IL26;PTEN;SGF29;MEOX1;PHF21A;MTDH;FSTL3;HOXA10;SALL3;HLTF;CHP2;ANKRD2;MAGEA4;MEF2A;NCOA2;ANHX;CHUK;MAGEE2;BICRAL;PRRX2;IL18;PASD1;NR2F2;ESR2;ACVR2A;NR2F6;MAVS;CTNNB1;INSM1;HAMP	GO:0006357	33
Regulation of Fibroblast Migration (GO:0010762)	2/20	0.0167948882548689	0.3225005900692979	0	0	11.1010101010101	45.36628383483138	ITGB1;DDX18	GO:0010762	2
Alternative mRNA Splicing, via Spliceosome (GO:0000380)	2/20	0.0167948882548689	0.3225005900692979	0	0	11.1010101010101	45.36628383483138	DHX9;HNRNPUL2	GO:0000380	2
Glycogen Metabolic Process (GO:0005977)	2/20	0.0167948882548689	0.3225005900692979	0	0	11.1010101010101	45.36628383483138	GYS1;GYG2	GO:0005977	2
Regulation of Smooth Muscle Cell Proliferation (GO:0048660)	3/54	0.0168161021964705	0.3225005900692979	0	0	5.896984174380412	24.09164757699128	IL18;CTNNB1;APOE	GO:0048660	3
Regulation of Receptor Signaling Pathway via JAK-STAT (GO:0046425)	3/55	0.0176580617409628	0.3241553606912776	0	0	5.783287778211636	23.34460456181631	GH2;IL26;CAMK2A	GO:0046425	3
Nucleus Organization (GO:0006997)	3/55	0.0176580617409628	0.3241553606912776	0	0	5.783287778211636	23.34460456181631	REEP4;LMNB1;AGFG1	GO:0006997	3
Mitochondrial Gene Expression (GO:0140053)	4/100	0.0180733221304631	0.3241553606912776	0	0	4.188775510204081	16.81088959163861	MRPS35;MRPL36;MRPS30;MRPL33	GO:0140053	4
Regulation of Neuroinflammatory Response (GO:0150077)	2/21	0.0184420232483939	0.3241553606912776	0	0	10.516214779372676	41.9925427496273	IL18;PLCG2	GO:0150077	2
Regulation of Smooth Muscle Contraction (GO:0006940)	2/21	0.0184420232483939	0.3241553606912776	0	0	10.516214779372676	41.9925427496273	CHRNA3;EDN3	GO:0006940	2
Excitatory Postsynaptic Potential (GO:0060079)	2/21	0.0184420232483939	0.3241553606912776	0	0	10.516214779372676	41.9925427496273	CHRNA3;GRIN2A	GO:0060079	2
Cellular Response to Alcohol (GO:0097306)	3/56	0.018523163468073	0.3241553606912776	0	0	5.6738818120869645	22.631601044641528	GRAMD1B;CTNNB1;CFTR	GO:0097306	3
Positive Regulation of Interferon-Alpha Production (GO:0032727)	2/22	0.0201543754357544	0.3440990928055641	0	0	9.98989898989899	39.00390099361183	MAVS;DHX9	GO:0032727	2
Natural Killer Cell Activation Involved in Immune Response (GO:0002323)	2/22	0.0201543754357544	0.3440990928055641	0	0	9.98989898989899	39.00390099361183	IFNA2;NKG7	GO:0002323	2
Carbohydrate Derivative Catabolic Process (GO:1901136)	2/23	0.02193048949736	0.3561726249417379	0	0	9.513708513708512	36.34120010270031	NEU2;FBXO2	GO:1901136	2
Positive Regulation of DNA Replication (GO:0045740)	2/23	0.02193048949736	0.3561726249417379	0	0	9.513708513708512	36.34120010270031	DHX9;CDC25A	GO:0045740	2
Positive Regulation of Excitatory Postsynaptic Potential (GO:2000463)	2/23	0.02193048949736	0.3561726249417379	0	0	9.513708513708512	36.34120010270031	GRIN2A;PTEN	GO:2000463	2
Regulation of Phosphatidylinositol 3-Kinase/Protein Kinase B Signal Transduction (GO:0051896)	6/219	0.0230643319522876	0.3561726249417379	0	0	2.8440540148105127	10.720570388897398	DDR1;ITGB1;IL26;IL18;PTEN;MTDH	GO:0051896	6
+ Reg of Phosphatidylinositol 3-Kinase/Prot Kinase B Signal Transduction (GO:0051897)	5/162	0.0235849453451751	0.3561726249417379	0	0	3.208067940552017	12.02110113138322	DDR1;ITGB1;IL26;IL18;MTDH	GO:0051897	5
Positive Regulation of NLRP3 Inflammasome Complex Assembly (GO:1900227)	2/24	0.0237689324469591	0.3561726249417379	0	0	9.08080808080808	33.956554984338226	MAVS;PLCG2	GO:1900227	2
Positive Regulation of Inflammasome-Mediated Signaling Pathway (GO:0141087)	2/25	0.0256682933201663	0.3561726249417379	0	0	8.685551163812033	31.810820468950148	MAVS;PLCG2	GO:0141087	2
Glycosaminoglycan Biosynthetic Process (GO:0006024)	2/25	0.0256682933201663	0.3561726249417379	0	0	8.685551163812033	31.810820468950148	DDX18;HAS3	GO:0006024	2
Negative Regulation of Catalytic Activity (GO:0043086)	2/25	0.0256682933201663	0.3561726249417379	0	0	8.685551163812033	31.810820468950148	CAMK2A;PHPT1	GO:0043086	2
Chloride Transmembrane Transport (GO:1902476)	3/65	0.0273538141573354	0.3561726249417379	0	0	4.848043229081382	17.447619395780233	KCNK1;CFTR;ANO3	GO:1902476	3
Acylglycerol Homeostasis (GO:0055090)	2/26	0.0276271829006745	0.3561726249417379	0	0	8.323232323232324	29.871707121892776	IL18;APOE	GO:0055090	2
Regulation of Postsynaptic Membrane Potential (GO:0060078)	2/26	0.0276271829006745	0.3561726249417379	0	0	8.323232323232324	29.871707121892776	CHRNA3;GRIN2A	GO:0060078	2
Chemical Synaptic Transmission, Postsynaptic (GO:0099565)	2/26	0.0276271829006745	0.3561726249417379	0	0	8.323232323232324	29.871707121892776	CHRNA3;GRIN2A	GO:0099565	2
Positive Regulation of Natural Killer Cell Mediated Immunity (GO:0002717)	2/26	0.0276271829006745	0.3561726249417379	0	0	8.323232323232324	29.871707121892776	RAET1G;PVR	GO:0002717	2
Regulation of Interferon-Alpha Production (GO:0032647)	2/27	0.0296442334084981	0.3561726249417379	0	0	7.98989898989899	28.11236101024157	MAVS;DHX9	GO:0032647	2
Wound Healing, Spreading of Cells (GO:0044319)	2/27	0.0296442334084981	0.3561726249417379	0	0	7.98989898989899	28.11236101024157	DDR1;ITGB1	GO:0044319	2
Positive Regulation of Type I Interferon Production (GO:0032481)	3/68	0.0307146647785553	0.3561726249417379	0	0	4.623584537290121	16.10401456697529	MAVS;CHUK;DHX9	GO:0032481	3
Positive Regulation of Intracellular Signal Transduction (GO:1902533)	12/652	0.0313761805779545	0.3561726249417379	0	0	1.9109042553191489	6.614989211921726	DDR1;ITGB1;MAVS;CHUK;IL26;PLCG2;IL18;HTR2B;PTEN;SEPTIN4;ACVR2A;MTDH	GO:1902533	12
Carbohydrate Biosynthetic Process (GO:0016051)	2/28	0.0317180982356202	0.3561726249417379	0	0	7.682206682206682	26.51027997028578	DDX18;HAS3	GO:0016051	2
Glycosaminoglycan Metabolic Process (GO:0030203)	2/28	0.0317180982356202	0.3561726249417379	0	0	7.682206682206682	26.51027997028578	DDX18;IDUA	GO:0030203	2
Hematopoietic Progenitor Cell Differentiation (GO:0002244)	2/28	0.0317180982356202	0.3561726249417379	0	0	7.682206682206682	26.51027997028578	MEOX1;FSTL3	GO:0002244	2
Long-Term Synaptic Potentiation (GO:0060291)	2/28	0.0317180982356202	0.3561726249417379	0	0	7.682206682206682	26.51027997028578	GRIN2A;CAMK2A	GO:0060291	2
Positive Regulation of Intracellular Protein Transport (GO:0090316)	3/69	0.0318810265797797	0.3561726249417379	0	0	4.553299492385787	15.689505426965288	MAVS;CHP2;KIF20B	GO:0090316	3
Regulation of Neuron Projection Development (GO:0010975)	5/176	0.0321401264329657	0.3561726249417379	0	0	2.9433198380566803	10.118103396736007	DDR1;CHN1;PTEN;APOE;LZTS3	GO:0010975	5
Negative Regulation of Transcription by RNA Polymerase II (GO:0000122)	13/732	0.0328860013097477	0.3561726249417379	0	0	1.8449049110097957	6.299811934972644	MEF2A;MAGEH1;MAGEE2;NR2F2;SGF29;PHF21A;ESR2;MTDH;NR2F6;ANKRD2;INSM1;HAMP;MAGEA4	GO:0000122	13
Regulation of Monoatomic Ion Transmembrane Transport (GO:0034765)	2/29	0.0338474516440146	0.3561726249417379	0	0	7.397306397306397	25.046477343523872	GRIN2A;KCNJ3	GO:0034765	2
Negative Regulation of Wound Healing (GO:0061045)	2/29	0.0338474516440146	0.3561726249417379	0	0	7.397306397306397	25.046477343523872	PTEN;APOE	GO:0061045	2
Positive Regulation of Protein Import Into Nucleus (GO:0042307)	2/29	0.0338474516440146	0.3561726249417379	0	0	7.397306397306397	25.046477343523872	MAVS;CHP2	GO:0042307	2
Maintenance of Blood-Brain Barrier (GO:0035633)	2/29	0.0338474516440146	0.3561726249417379	0	0	7.397306397306397	25.046477343523872	ITGB1;F11R	GO:0035633	2
Regulation of G Protein-Coupled Receptor Signaling Pathway (GO:0008277)	3/72	0.0355175071354049	0.3561726249417379	0	0	4.354667843743103	14.534703522115317	FRMPD1;CAMK2A;NMT2	GO:0008277	3
Monoatomic Anion Transmembrane Transport (GO:0098656)	3/72	0.0355175071354049	0.3561726249417379	0	0	4.354667843743103	14.534703522115317	KCNK1;CFTR;ANO3	GO:0098656	3
Lamellipodium Organization (GO:0097581)	2/30	0.0360309884965366	0.3561726249417379	0	0	7.132756132756133	23.70482996930019	ITGB1;PHPT1	GO:0097581	2
Pyroptotic Inflammatory Response (GO:0070269)	2/30	0.0360309884965366	0.3561726249417379	0	0	7.132756132756133	23.70482996930019	DHX9;CASP4	GO:0070269	2
Cellular Response to Lipopolysaccharide (GO:0071222)	4/125	0.0369417778707116	0.3561726249417379	0	0	3.3191094619666046	10.947791065360018	IL36B;PLCG2;IL18;MTDH	GO:0071222	4
Positive Regulation of Developmental Process (GO:0051094)	6/245	0.0369668251237728	0.3561726249417379	0	0	2.531294483026356	8.347536859835975	NCOA2;EDN3;BICRAL;CTNNB1;APOE;INSM1	GO:0051094	6
Positive Regulation of Transcription by RNA Polymerase II (GO:0045944)	16/983	0.0382299201148309	0.3561726249417379	0	0	1.6935389595791557	5.5279428755397655	MEF2A;NCOA2;CHUK;DHX9;IL26;IL18;PTEN;NR2F2;ESR2;ACVR2A;FSTL3;HOXA10;MAVS;HLTF;CHP2;CTNNB1	GO:0045944	16
Regulation of Neuron Migration (GO:2001222)	2/31	0.0382674239788824	0.3561726249417379	0	0	6.886450714036921	22.47156498788087	CAMK2A;KIF20B	GO:2001222	2
Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Dependent Decay (GO:0000288)	2/31	0.0382674239788824	0.3561726249417379	0	0	6.886450714036921	22.47156498788087	CNOT6L;PATL1	GO:0000288	2
Positive Regulation of Signaling (GO:0023056)	2/31	0.0382674239788824	0.3561726249417379	0	0	6.886450714036921	22.47156498788087	NSF;EDN3	GO:0023056	2
Leukocyte Cell-Cell Adhesion (GO:0007159)	2/31	0.0382674239788824	0.3561726249417379	0	0	6.886450714036921	22.47156498788087	ITGB1;F11R	GO:0007159	2
Modulation of Excitatory Postsynaptic Potential (GO:0098815)	2/31	0.0382674239788824	0.3561726249417379	0	0	6.886450714036921	22.47156498788087	GRIN2A;PTEN	GO:0098815	2
Potassium Ion Transport (GO:0006813)	4/127	0.0388026991948337	0.3561726249417379	0	0	3.264808362369338	10.608229071142864	KCNT2;KCNA7;KCNK1;KCNJ3	GO:0006813	4
Regulation of Anatomical Structure Morphogenesis (GO:0022603)	4/127	0.0388026991948337	0.3561726249417379	0	0	3.264808362369338	10.608229071142864	CHRNA3;CHN1;CTNNB1;LZTS3	GO:0022603	4
Positive Regulation of T Cell Mediated Cytotoxicity (GO:0001916)	2/32	0.0405554933220173	0.3561726249417379	0	0	6.656565656565657	21.334852328849312	RAET1G;PVR	GO:0001916	2
Macromolecule Biosynthetic Process (GO:0009059)	5/189	0.0416249552229583	0.3561726249417379	0	0	2.73355629877369	8.690126930333951	RPS4X;DDX18;HAS3;MRPL36;APOE	GO:0009059	5
Positive Regulation of Defense Response (GO:0031349)	4/130	0.0416931251530952	0.3561726249417379	0	0	3.186588921282799	10.125128273545416	DHX9;CASP4;IL18;NKG7	GO:0031349	4
Positive Regulation of Interleukin-6 Production (GO:0032755)	3/77	0.0420316296186853	0.3561726249417379	0	0	4.059404582247222	12.865604326296657	MAVS;DHX9;PLCG2	GO:0032755	3
Response to Estradiol (GO:0032355)	2/33	0.0428939515536669	0.3561726249417379	0	0	6.4415118931247966	20.28447846195992	CTNNB1;ESR2	GO:0032355	2
Regulation of calcineurin-NFAT Signaling Cascade (GO:0070884)	2/33	0.0428939515536669	0.3561726249417379	0	0	6.4415118931247966	20.28447846195992	CHP2;PLCG2	GO:0070884	2
Triglyceride Homeostasis (GO:0070328)	2/34	0.0452815731960364	0.3561726249417379	0	0	6.23989898989899	19.311583224616665	IL18;APOE	GO:0070328	2
Negative Regulation of DNA-templated Transcription (GO:0045892)	16/1006	0.0455116625356328	0.3561726249417379	0	0	1.6521739130434785	5.104864927103907	MEF2A;MAGEH1;MAGEE2;IFNA2;PASD1;NR2F2;SGF29;PHF21A;ESR2;MTDH;NR2F6;CTNNB1;ANKRD2;INSM1;HAMP;MAGEA4	GO:0045892	16
Potassium Ion Transmembrane Transport (GO:0071805)	4/134	0.045731924796544	0.3561726249417379	0	0	3.087912087912088	9.526081111423547	KCNT2;KCNA7;KCNK1;KCNJ3	GO:0071805	4
Regulation of Cell Population Proliferation (GO:0042127)	13/769	0.0457463783124747	0.3561726249417379	0	0	1.7512095747389864	5.40185574851705	CNOT6L;ANHX;EDN3;BICRAL;HTR2B;PTEN;CCAR1;RPS4X;GDF9;CHP2;CTNNB1;INSM1;KIF20B	GO:0042127	13
Cholesterol Homeostasis (GO:0042632)	3/80	0.0462079634844281	0.3561726249417379	0	0	3.90065264684554	11.99295882125826	GRAMD1B;IL18;APOE	GO:0042632	3
Sterol Homeostasis (GO:0055092)	3/81	0.047644064808467	0.3561726249417379	0	0	3.850449043342445	11.720756163276285	GRAMD1B;IL18;APOE	GO:0055092	3
Dendrite Morphogenesis (GO:0048813)	2/35	0.0477171520360592	0.3561726249417379	0	0	6.05050505050505	18.408446001894514	MEF2A;PTEN	GO:0048813	2
Positive Regulation of Cytokine Production Involved in Immune Response (GO:0002720)	2/35	0.0477171520360592	0.3561726249417379	0	0	6.05050505050505	18.408446001894514	RAET1G;PLCG2	GO:0002720	2
Positive Regulation of Macromolecule Metabolic Process (GO:0010604)	2/35	0.0477171520360592	0.3561726249417379	0	0	6.05050505050505	18.408446001894514	NSF;HAMP	GO:0010604	2
Inorganic Anion Transmembrane Transport (GO:0098661)	3/82	0.049101960522251	0.3561726249417379	0	0	3.801516417143224	11.457224263457675	KCNK1;CFTR;ANO3	GO:0098661	3
