Ontology	Ref	Count	expected	Fold Enrichment	over_under	raw P-value	FDR	GOID
L-amino acid biosynthetic process (GO:0170034)	48	2	0.23	+	8.58	0.0228	1.0	GO:0170034
polyol biosynthetic process (GO:0046173)	49	2	0.24	+	8.40	0.0237	1.0	GO:0046173
negative regulation of axonogenesis (GO:0050771)	53	2	0.26	+	7.77	0.0274	1.0	GO:0050771
negative regulation of fat cell differentiation (GO:0045599)	58	2	0.28	+	7.10	0.0324	1.0	GO:0045599
regulation of protein import into nucleus (GO:0042306)	60	2	0.29	+	6.86	0.0345	1.0	GO:0042306
positive regulation of nucleocytoplasmic transport (GO:0046824)	61	2	0.3	+	6.75	0.0355	1.0	GO:0046824
glutamine family amino acid metabolic process (GO:0009064)	63	2	0.31	+	6.53	0.0377	1.0	GO:0009064
polyol metabolic process (GO:0019751)	99	3	0.48	+	6.24	0.0125	1.0	GO:0019751
circadian regulation of gene expression (GO:0032922)	67	2	0.33	+	6.14	0.0421	1.0	GO:0032922
myeloid leukocyte mediated immunity (GO:0002444)	74	2	0.36	+	5.56	0.0504	1.0	GO:0002444
regulation of circadian rhythm (GO:0042752)	117	3	0.57	+	5.28	0.0194	1.0	GO:0042752
regulation of nucleocytoplasmic transport (GO:0046822)	117	3	0.57	+	5.28	0.0194	1.0	GO:0046822
regulation of amine transport (GO:0051952)	79	2	0.38	+	5.21	0.0566	1.0	GO:0051952
regulation of axon extension (GO:0030516)	83	2	0.4	+	4.96	0.0617	1.0	GO:0030516
dicarboxylic acid transport (GO:0006835)	84	2	0.41	+	4.90	0.063	1.0	GO:0006835
keratinization (GO:0031424)	84	2	0.41	+	4.90	0.063	1.0	GO:0031424
positive regulation of exocytosis (GO:0045921)	85	2	0.41	+	4.84	0.0644	1.0	GO:0045921
proteinogenic amino acid metabolic process (GO:0170039)	171	4	0.83	+	4.81	0.00973	1.0	GO:0170039
neural retina development (GO:0003407)	86	2	0.42	+	4.79	0.0657	1.0	GO:0003407
L-amino acid metabolic process (GO:0170033)	173	4	0.84	+	4.76	0.0101	1.0	GO:0170033
organelle transport along microtubule (GO:0072384)	87	2	0.42	+	4.73	0.067	1.0	GO:0072384
cellular response to hypoxia (GO:0071456)	133	3	0.65	+	4.64	0.0271	1.0	GO:0071456
synapse assembly (GO:0007416)	134	3	0.65	+	4.61	0.0276	1.0	GO:0007416
positive regulation of intracellular protein transport (GO:0090316)	90	2	0.44	+	4.57	0.0711	1.0	GO:0090316
regulation of insulin secretion (GO:0050796)	182	4	0.88	+	4.52	0.012	1.0	GO:0050796
negative regulation of neurogenesis (GO:0050768)	139	3	0.68	+	4.44	0.0303	1.0	GO:0050768
positive regulation of endothelial cell proliferation (GO:0001938)	93	2	0.45	+	4.43	0.0752	1.0	GO:0001938
positive regulation of protein localization to nucleus (GO:1900182)	93	2	0.45	+	4.43	0.0752	1.0	GO:1900182
circadian rhythm (GO:0007623)	140	3	0.68	+	4.41	0.0309	1.0	GO:0007623
negative regulation of developmental growth (GO:0048640)	94	2	0.46	+	4.38	0.0766	1.0	GO:0048640
cellular response to decreased oxygen levels (GO:0036294)	141	3	0.69	+	4.38	0.0314	1.0	GO:0036294
intermediate filament cytoskeleton organization (GO:0045104)	96	2	0.47	+	4.29	0.0795	1.0	GO:0045104
regulation of axonogenesis (GO:0050770)	144	3	0.7	+	4.29	0.0332	1.0	GO:0050770
Golgi organization (GO:0007030)	145	3	0.7	+	4.26	0.0338	1.0	GO:0007030
hippocampus development (GO:0021766)	97	2	0.47	+	4.24	0.0809	1.0	GO:0021766
alcohol biosynthetic process (GO:0046165)	97	2	0.47	+	4.24	0.0809	1.0	GO:0046165
intermediate filament-based process (GO:0045103)	97	2	0.47	+	4.24	0.0809	1.0	GO:0045103
negative regulation of nervous system development (GO:0051961)	146	3	0.71	+	4.23	0.0343	1.0	GO:0051961
transition metal ion transport (GO:0000041)	98	2	0.48	+	4.20	0.0823	1.0	GO:0000041
central nervous system neuron development (GO:0021954)	98	2	0.48	+	4.20	0.0823	1.0	GO:0021954
regulation of intracellular protein transport (GO:0033157)	148	3	0.72	+	4.17	0.0355	1.0	GO:0033157
regulation of leukocyte mediated cytotoxicity (GO:0001910)	100	2	0.49	+	4.12	0.0852	1.0	GO:0001910
regulation of extent of cell growth (GO:0061387)	100	2	0.49	+	4.12	0.0852	1.0	GO:0061387
alpha-amino acid metabolic process (GO:1901605)	202	4	0.98	+	4.08	0.017	1.0	GO:1901605
regulation of gliogenesis (GO:0014013)	102	2	0.5	+	4.04	0.0881	1.0	GO:0014013
energy derivation by oxidation of organic compounds (GO:0015980)	310	6	1.51	+	3.98	0.00406	1.0	GO:0015980
telomere maintenance (GO:0000723)	104	2	0.51	+	3.96	0.0911	1.0	GO:0000723
cellular response to oxygen levels (GO:0071453)	157	3	0.76	+	3.93	0.0412	1.0	GO:0071453
regulation of peptide hormone secretion (GO:0090276)	214	4	1.04	+	3.85	0.0205	1.0	GO:0090276
hematopoietic or lymphoid organ development (GO:0048534)	107	2	0.52	+	3.85	0.0955	1.0	GO:0048534
telomere organization (GO:0032200)	108	2	0.52	+	3.81	0.0971	1.0	GO:0032200
positive regulation of protein phosphorylation (GO:0001934)	217	4	1.05	+	3.79	0.0215	1.0	GO:0001934
positive regulation of myeloid cell differentiation (GO:0045639)	109	2	0.53	+	3.78	0.0986	1.0	GO:0045639
negative regulation of intrinsic apoptotic signaling pathway (GO:2001243)	109	2	0.53	+	3.78	0.0986	1.0	GO:2001243
regulation of peptide secretion (GO:0002791)	218	4	1.06	+	3.78	0.0218	1.0	GO:0002791
reactive oxygen species metabolic process (GO:0072593)	109	2	0.53	+	3.78	0.0986	1.0	GO:0072593
regulation of peptide transport (GO:0090087)	220	4	1.07	+	3.74	0.0225	1.0	GO:0090087
regulation of cell killing (GO:0031341)	111	2	0.54	+	3.71	0.102	1.0	GO:0031341
response to estradiol (GO:0032355)	114	2	0.55	+	3.61	0.106	1.0	GO:0032355
response to reactive oxygen species (GO:0000302)	173	3	0.84	+	3.57	0.0523	1.0	GO:0000302
negative regulation of cell growth (GO:0030308)	174	3	0.85	+	3.55	0.053	1.0	GO:0030308
regulation of mitochondrion organization (GO:0010821)	117	2	0.57	+	3.52	0.111	1.0	GO:0010821
carbohydrate biosynthetic process (GO:0016051)	119	2	0.58	+	3.46	0.114	1.0	GO:0016051
immune system development (GO:0002520)	180	3	0.87	+	3.43	0.0575	1.0	GO:0002520
positive regulation of phosphorylation (GO:0042327)	240	4	1.17	+	3.43	0.0297	1.0	GO:0042327
blastocyst development (GO:0001824)	123	2	0.6	+	3.35	0.12	1.0	GO:0001824
regulation of neurogenesis (GO:0050767)	369	6	1.79	+	3.35	0.00927	1.0	GO:0050767
positive regulation of mitotic cell cycle (GO:0045931)	124	2	0.6	+	3.32	0.122	1.0	GO:0045931
generation of precursor metabolites and energy (GO:0006091)	374	6	1.82	+	3.30	0.00987	1.0	GO:0006091
cellular response to reactive oxygen species (GO:0034614)	126	2	0.61	+	3.27	0.125	1.0	GO:0034614
regulation of protein transport (GO:0051223)	444	7	2.16	+	3.24	0.00595	1.0	GO:0051223
regulation of synapse organization (GO:0050807)	321	5	1.56	+	3.21	0.0202	1.0	GO:0050807
limbic system development (GO:0021761)	129	2	0.63	+	3.19	0.13	1.0	GO:0021761
negative regulation of neuron projection development (GO:0010977)	130	2	0.63	+	3.17	0.132	1.0	GO:0010977
regulation of nervous system development (GO:0051960)	456	7	2.22	+	3.16	0.00685	1.0	GO:0051960
action potential (GO:0001508)	131	2	0.64	+	3.14	0.133	1.0	GO:0001508
regulation of synapse structure or activity (GO:0050803)	328	5	1.59	+	3.14	0.022	1.0	GO:0050803
lysosomal transport (GO:0007041)	132	2	0.64	+	3.12	0.135	1.0	GO:0007041
cellular response to xenobiotic stimulus (GO:0071466)	198	3	0.96	+	3.12	0.0721	1.0	GO:0071466
pallium development (GO:0021543)	200	3	0.97	+	3.09	0.0738	1.0	GO:0021543
cytoskeleton-dependent intracellular transport (GO:0030705)	200	3	0.97	+	3.09	0.0738	1.0	GO:0030705
xenobiotic metabolic process (GO:0006805)	134	2	0.65	+	3.07	0.138	1.0	GO:0006805
regulation of endothelial cell proliferation (GO:0001936)	134	2	0.65	+	3.07	0.138	1.0	GO:0001936
regulation of intracellular transport (GO:0032386)	268	4	1.3	+	3.07	0.0418	1.0	GO:0032386
rhythmic process (GO:0048511)	269	4	1.31	+	3.06	0.0423	1.0	GO:0048511
regulation of establishment of protein localization (GO:0070201)	540	8	2.62	+	3.05	0.00481	1.0	GO:0070201
negative regulation of DNA metabolic process (GO:0051053)	136	2	0.66	+	3.03	0.142	1.0	GO:0051053
positive regulation of intracellular transport (GO:0032388)	137	2	0.67	+	3.00	0.143	1.0	GO:0032388
regulation of protein secretion (GO:0050708)	275	4	1.34	+	2.99	0.0452	1.0	GO:0050708
regulation of hormone secretion (GO:0046883)	276	4	1.34	+	2.98	0.0457	1.0	GO:0046883
fat cell differentiation (GO:0045444)	139	2	0.68	+	2.96	0.147	1.0	GO:0045444
regulation of fat cell differentiation (GO:0045598)	140	2	0.68	+	2.94	0.148	1.0	GO:0045598
amino acid metabolic process (GO:0006520)	280	4	1.36	+	2.94	0.0477	1.0	GO:0006520
regulation of cell shape (GO:0008360)	140	2	0.68	+	2.94	0.148	1.0	GO:0008360
positive regulation of nervous system development (GO:0051962)	284	4	1.38	+	2.90	0.0498	1.0	GO:0051962
phosphatidylinositol metabolic process (GO:0046488)	144	2	0.7	+	2.86	0.155	1.0	GO:0046488
learning or memory (GO:0007611)	288	4	1.4	+	2.86	0.0519	1.0	GO:0007611
carboxylic acid biosynthetic process (GO:0046394)	288	4	1.4	+	2.86	0.0519	1.0	GO:0046394
keratinocyte differentiation (GO:0030216)	145	2	0.7	+	2.84	0.157	1.0	GO:0030216
organic acid biosynthetic process (GO:0016053)	292	4	1.42	+	2.82	0.0541	1.0	GO:0016053
regulation of protein localization to nucleus (GO:1900180)	147	2	0.71	+	2.80	0.16	1.0	GO:1900180
regulation of protein phosphorylation (GO:0001932)	369	5	1.79	+	2.79	0.0341	1.0	GO:0001932
MAPK cascade (GO:0000165)	224	3	1.09	+	2.76	0.0958	1.0	GO:0000165
negative regulation of growth (GO:0045926)	225	3	1.09	+	2.74	0.0968	1.0	GO:0045926
nucleus organization (GO:0006997)	151	2	0.73	+	2.73	0.167	1.0	GO:0006997
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	151	2	0.73	+	2.73	0.167	1.0	GO:2000045
positive regulation of neurogenesis (GO:0050769)	228	3	1.11	+	2.71	0.0997	1.0	GO:0050769
cell junction assembly (GO:0034329)	304	4	1.48	+	2.71	0.061	1.0	GO:0034329
positive regulation of phosphorus metabolic process (GO:0010562)	308	4	1.5	+	2.67	0.0633	1.0	GO:0010562
positive regulation of phosphate metabolic process (GO:0045937)	308	4	1.5	+	2.67	0.0633	1.0	GO:0045937
central nervous system neuron differentiation (GO:0021953)	243	3	1.18	+	2.54	0.115	1.0	GO:0021953
response to peptide hormone (GO:0043434)	407	5	1.98	+	2.53	0.0484	1.0	GO:0043434
protein stabilization (GO:0050821)	246	3	1.2	+	2.51	0.118	1.0	GO:0050821
regulation of phosphorylation (GO:0042325)	412	5	2.0	+	2.50	0.0506	1.0	GO:0042325
positive regulation of angiogenesis (GO:0045766)	165	2	0.8	+	2.49	0.191	1.0	GO:0045766
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	166	2	0.81	+	2.48	0.193	1.0	GO:0007189
positive regulation of establishment of protein localization (GO:1904951)	335	4	1.63	+	2.46	0.0806	1.0	GO:1904951
potassium ion transmembrane transport (GO:0071805)	168	2	0.82	+	2.45	0.197	1.0	GO:0071805
cognition (GO:0050890)	337	4	1.64	+	2.44	0.082	1.0	GO:0050890
vacuolar transport (GO:0007034)	169	2	0.82	+	2.44	0.198	1.0	GO:0007034
mitotic nuclear division (GO:0140014)	169	2	0.82	+	2.44	0.198	1.0	GO:0140014
positive regulation of vasculature development (GO:1904018)	169	2	0.82	+	2.44	0.198	1.0	GO:1904018
regulation of neuron apoptotic process (GO:0043523)	257	3	1.25	+	2.40	0.13	1.0	GO:0043523
hexose metabolic process (GO:0019318)	172	2	0.84	+	2.39	0.204	1.0	GO:0019318
calcium-mediated signaling (GO:0019722)	174	2	0.85	+	2.37	0.207	1.0	GO:0019722
transport along microtubule (GO:0010970)	175	2	0.85	+	2.35	0.209	1.0	GO:0010970
positive regulation of protein transport (GO:0051222)	263	3	1.28	+	2.35	0.136	1.0	GO:0051222
negative regulation of neuron apoptotic process (GO:0043524)	176	2	0.86	+	2.34	0.211	1.0	GO:0043524
regulation of cell cycle G1/S phase transition (GO:1902806)	176	2	0.86	+	2.34	0.211	1.0	GO:1902806
retina development in camera-type eye (GO:0060041)	178	2	0.86	+	2.31	0.214	1.0	GO:0060041
regulation of synapse assembly (GO:0051963)	179	2	0.87	+	2.30	0.216	1.0	GO:0051963
regulation of mRNA stability (GO:0043488)	179	2	0.87	+	2.30	0.216	1.0	GO:0043488
positive regulation of protein modification process (GO:0031401)	359	4	1.74	+	2.29	0.0978	1.0	GO:0031401
cell killing (GO:0001906)	180	2	0.87	+	2.29	0.218	1.0	GO:0001906
lipid homeostasis (GO:0055088)	180	2	0.87	+	2.29	0.218	1.0	GO:0055088
regulation of cell size (GO:0008361)	181	2	0.88	+	2.27	0.22	1.0	GO:0008361
negative regulation of inflammatory response (GO:0050728)	182	2	0.88	+	2.26	0.221	1.0	GO:0050728
immunoglobulin mediated immune response (GO:0016064)	183	2	0.89	+	2.25	0.223	1.0	GO:0016064
negative regulation of cell development (GO:0010721)	275	3	1.34	+	2.25	0.15	1.0	GO:0010721
negative regulation of defense response (GO:0031348)	277	3	1.35	+	2.23	0.152	1.0	GO:0031348
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	185	2	0.9	+	2.22	0.227	1.0	GO:2001242
response to oxidative stress (GO:0006979)	374	4	1.82	+	2.20	0.109	1.0	GO:0006979
potassium ion transport (GO:0006813)	187	2	0.91	+	2.20	0.23	1.0	GO:0006813
RNA localization (GO:0006403)	187	2	0.91	+	2.20	0.23	1.0	GO:0006403
negative regulation of cell projection organization (GO:0031345)	187	2	0.91	+	2.20	0.23	1.0	GO:0031345
cell-cell junction organization (GO:0045216)	188	2	0.91	+	2.19	0.232	1.0	GO:0045216
cellular response to peptide hormone stimulus (GO:0071375)	282	3	1.37	+	2.19	0.158	1.0	GO:0071375
B cell mediated immunity (GO:0019724)	188	2	0.91	+	2.19	0.232	1.0	GO:0019724
regulation of exocytosis (GO:0017157)	190	2	0.92	+	2.17	0.236	1.0	GO:0017157
skin development (GO:0043588)	286	3	1.39	+	2.16	0.163	1.0	GO:0043588
positive regulation of ERK1 and ERK2 cascade (GO:0070374)	191	2	0.93	+	2.15	0.238	1.0	GO:0070374
blood coagulation (GO:0007596)	191	2	0.93	+	2.15	0.238	1.0	GO:0007596
regulation of RNA stability (GO:0043487)	192	2	0.93	+	2.14	0.239	1.0	GO:0043487
coagulation (GO:0050817)	193	2	0.94	+	2.13	0.241	1.0	GO:0050817
glycerophospholipid biosynthetic process (GO:0046474)	193	2	0.94	+	2.13	0.241	1.0	GO:0046474
telencephalon development (GO:0021537)	290	3	1.41	+	2.13	0.167	1.0	GO:0021537
response to hypoxia (GO:0001666)	292	3	1.42	+	2.11	0.17	1.0	GO:0001666
regulation of secretion by cell (GO:1903530)	584	6	2.84	+	2.11	0.0652	1.0	GO:1903530
small molecule biosynthetic process (GO:0044283)	489	5	2.38	+	2.10	0.09	1.0	GO:0044283
monosaccharide metabolic process (GO:0005996)	196	2	0.95	+	2.10	0.247	1.0	GO:0005996
endomembrane system organization (GO:0010256)	590	6	2.87	+	2.09	0.0678	1.0	GO:0010256
positive regulation of catalytic activity (GO:0043085)	295	3	1.43	+	2.09	0.173	1.0	GO:0043085
hemostasis (GO:0007599)	197	2	0.96	+	2.09	0.248	1.0	GO:0007599
regulation of angiogenesis (GO:0045765)	297	3	1.44	+	2.08	0.176	1.0	GO:0045765
protein ubiquitination (GO:0016567)	600	6	2.92	+	2.06	0.0722	1.0	GO:0016567
negative regulation of apoptotic process (GO:0043066)	901	9	4.38	+	2.06	0.0424	1.0	GO:0043066
carboxylic acid transport (GO:0046942)	301	3	1.46	+	2.05	0.18	1.0	GO:0046942
regulation of mRNA catabolic process (GO:0061013)	201	2	0.98	+	2.05	0.256	1.0	GO:0061013
organic acid transport (GO:0015849)	302	3	1.47	+	2.04	0.182	1.0	GO:0015849
regulation of vasculature development (GO:1901342)	304	3	1.48	+	2.03	0.184	1.0	GO:1901342
regulation of proteasomal protein catabolic process (GO:0061136)	203	2	0.99	+	2.03	0.259	1.0	GO:0061136
response to decreased oxygen levels (GO:0036293)	305	3	1.48	+	2.02	0.185	1.0	GO:0036293
positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0051897)	204	2	0.99	+	2.02	0.261	1.0	GO:0051897
positive regulation of epithelial cell proliferation (GO:0050679)	204	2	0.99	+	2.02	0.261	1.0	GO:0050679
intracellular receptor signaling pathway (GO:0030522)	206	2	1.0	+	2.00	0.265	1.0	GO:0030522
alcohol metabolic process (GO:0006066)	310	3	1.51	+	1.99	0.191	1.0	GO:0006066
regulation of protein modification process (GO:0031399)	621	6	3.02	+	1.99	0.128	1.0	GO:0031399
regulation of cell development (GO:0060284)	831	8	4.04	+	1.98	0.0653	1.0	GO:0060284
negative regulation of programmed cell death (GO:0043069)	939	9	4.56	+	1.97	0.0483	1.0	GO:0043069
forebrain development (GO:0030900)	418	4	2.03	+	1.97	0.146	1.0	GO:0030900
regulation of myeloid cell differentiation (GO:0045637)	210	2	1.02	+	1.96	0.272	1.0	GO:0045637
regulation of inflammatory response (GO:0050727)	421	4	2.05	+	1.96	0.149	1.0	GO:0050727
regulation of anatomical structure morphogenesis (GO:0022603)	845	8	4.11	+	1.95	0.0683	1.0	GO:0022603
epidermal cell differentiation (GO:0009913)	212	2	1.03	+	1.94	0.275	1.0	GO:0009913
negative regulation of immune response (GO:0050777)	212	2	1.03	+	1.94	0.275	1.0	GO:0050777
regulation of secretion (GO:0051046)	637	6	3.1	+	1.94	0.133	1.0	GO:0051046
regulation of protein-containing complex assembly (GO:0043254)	427	4	2.07	+	1.93	0.154	1.0	GO:0043254
leukocyte activation involved in immune response (GO:0002366)	214	2	1.04	+	1.92	0.279	1.0	GO:0002366
regulation of cellular localization (GO:0060341)	537	5	2.61	+	1.92	0.191	1.0	GO:0060341
leukocyte mediated immunity (GO:0002443)	323	3	1.57	+	1.91	0.208	1.0	GO:0002443
regulation of cellular response to growth factor stimulus (GO:0090287)	324	3	1.57	+	1.91	0.209	1.0	GO:0090287
glycerolipid biosynthetic process (GO:0045017)	216	2	1.05	+	1.91	0.283	1.0	GO:0045017
cell activation involved in immune response (GO:0002263)	218	2	1.06	+	1.89	0.286	1.0	GO:0002263
intracellular monoatomic cation homeostasis (GO:0030003)	436	4	2.12	+	1.89	0.163	1.0	GO:0030003
regulation of mitotic cell cycle phase transition (GO:1901990)	329	3	1.6	+	1.88	0.215	1.0	GO:1901990
axon development (GO:0061564)	439	4	2.13	+	1.88	0.165	1.0	GO:0061564
regulation of neuron projection development (GO:0010975)	441	4	2.14	+	1.87	0.167	1.0	GO:0010975
regulation of protein kinase activity (GO:0045859)	221	2	1.07	+	1.86	0.292	1.0	GO:0045859
positive regulation of cell development (GO:0010720)	443	4	2.15	+	1.86	0.169	1.0	GO:0010720
positive regulation of cell cycle (GO:0045787)	333	3	1.62	+	1.85	0.22	1.0	GO:0045787
nucleic acid catabolic process (GO:0141188)	222	2	1.08	+	1.85	0.293	1.0	GO:0141188
response to oxygen levels (GO:0070482)	333	3	1.62	+	1.85	0.22	1.0	GO:0070482
response to light stimulus (GO:0009416)	333	3	1.62	+	1.85	0.22	1.0	GO:0009416
intracellular monoatomic ion homeostasis (GO:0006873)	445	4	2.16	+	1.85	0.171	1.0	GO:0006873
visual perception (GO:0007601)	223	2	1.08	+	1.85	0.295	1.0	GO:0007601
microtubule-based transport (GO:0099111)	224	2	1.09	+	1.84	0.297	1.0	GO:0099111
carbohydrate metabolic process (GO:0005975)	449	4	2.18	+	1.83	0.175	1.0	GO:0005975
protein modification by small protein conjugation or removal (GO:0070647)	789	7	3.83	+	1.83	0.109	1.0	GO:0070647
cellular response to hormone stimulus (GO:0032870)	564	5	2.74	+	1.82	0.202	1.0	GO:0032870
protein modification by small protein conjugation (GO:0032446)	678	6	3.29	+	1.82	0.147	1.0	GO:0032446
response to insulin (GO:0032868)	226	2	1.1	+	1.82	0.301	1.0	GO:0032868
cellular response to oxidative stress (GO:0034599)	226	2	1.1	+	1.82	0.301	1.0	GO:0034599
response to radiation (GO:0009314)	453	4	2.2	+	1.82	0.286	1.0	GO:0009314
sensory perception of light stimulus (GO:0050953)	227	2	1.1	+	1.81	0.302	1.0	GO:0050953
regulation of phosphate metabolic process (GO:0019220)	568	5	2.76	+	1.81	0.203	1.0	GO:0019220
regulation of protein localization (GO:0032880)	910	8	4.42	+	1.81	0.0859	1.0	GO:0032880
regulation of phosphorus metabolic process (GO:0051174)	569	5	2.76	+	1.81	0.204	1.0	GO:0051174
regulation of hormone levels (GO:0010817)	569	5	2.76	+	1.81	0.204	1.0	GO:0010817
negative regulation of apoptotic signaling pathway (GO:2001234)	232	2	1.13	+	1.77	0.311	1.0	GO:2001234
regulation of actin cytoskeleton organization (GO:0032956)	353	3	1.72	+	1.75	0.246	1.0	GO:0032956
response to hormone (GO:0009725)	828	7	4.02	+	1.74	0.125	1.0	GO:0009725
protein localization to cell periphery (GO:1990778)	239	2	1.16	+	1.72	0.324	1.0	GO:1990778
regulation of cellular component size (GO:0032535)	359	3	1.74	+	1.72	0.254	1.0	GO:0032535
regulation of proteolysis involved in protein catabolic process (GO:1903050)	240	2	1.17	+	1.71	0.326	1.0	GO:1903050
post-translational protein modification (GO:0043687)	840	7	4.08	+	1.71	0.13	1.0	GO:0043687
positive regulation of molecular function (GO:0044093)	480	4	2.33	+	1.71	0.299	1.0	GO:0044093
phospholipid biosynthetic process (GO:0008654)	240	2	1.17	+	1.71	0.326	1.0	GO:0008654
regulation of kinase activity (GO:0043549)	241	2	1.17	+	1.71	0.327	1.0	GO:0043549
response to endoplasmic reticulum stress (GO:0034976)	241	2	1.17	+	1.71	0.327	1.0	GO:0034976
nucleobase-containing compound catabolic process (GO:0034655)	366	3	1.78	+	1.69	0.263	1.0	GO:0034655
spermatid development (GO:0007286)	244	2	1.19	+	1.69	0.333	1.0	GO:0007286
regulation of cell morphogenesis (GO:0022604)	246	2	1.2	+	1.67	0.336	1.0	GO:0022604
regulation of mitotic cell cycle (GO:0007346)	493	4	2.4	+	1.67	0.306	1.0	GO:0007346
synapse organization (GO:0050808)	371	3	1.8	+	1.66	0.431	1.0	GO:0050808
mesenchyme development (GO:0060485)	249	2	1.21	+	1.65	0.342	1.0	GO:0060485
immune effector process (GO:0002252)	500	4	2.43	+	1.65	0.311	1.0	GO:0002252
spermatid differentiation (GO:0048515)	254	2	1.23	+	1.62	0.35	1.0	GO:0048515
regulation of anatomical structure size (GO:0090066)	509	4	2.47	+	1.62	0.316	1.0	GO:0090066
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	382	3	1.86	+	1.62	0.437	1.0	GO:0043161
response to toxic substance (GO:0009636)	255	2	1.24	+	1.61	0.352	1.0	GO:0009636
axonogenesis (GO:0007409)	383	3	1.86	+	1.61	0.437	1.0	GO:0007409
mitotic cell cycle process (GO:1903047)	512	4	2.49	+	1.61	0.318	1.0	GO:1903047
regulation of proteolysis (GO:0030162)	386	3	1.88	+	1.60	0.439	1.0	GO:0030162
regulation of multicellular organismal development (GO:2000026)	1419	11	6.9	+	1.60	0.111	1.0	GO:2000026
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	259	2	1.26	+	1.59	0.359	1.0	GO:0007188
monoatomic cation homeostasis (GO:0055080)	518	4	2.52	+	1.59	0.322	1.0	GO:0055080
regulation of leukocyte mediated immunity (GO:0002703)	262	2	1.27	+	1.57	0.364	1.0	GO:0002703
positive regulation of protein metabolic process (GO:0051247)	788	6	3.83	+	1.57	0.285	1.0	GO:0051247
positive regulation of cell cycle process (GO:0090068)	263	2	1.28	+	1.57	0.366	1.0	GO:0090068
glycoprotein biosynthetic process (GO:0009101)	263	2	1.28	+	1.57	0.366	1.0	GO:0009101
lymphocyte mediated immunity (GO:0002449)	264	2	1.28	+	1.56	0.368	1.0	GO:0002449
regulation of catalytic activity (GO:0050790)	528	4	2.57	+	1.56	0.329	1.0	GO:0050790
regulation of cellular component organization (GO:0051128)	2512	19	12.21	+	1.56	0.0455	1.0	GO:0051128
monoatomic ion homeostasis (GO:0050801)	529	4	2.57	+	1.56	0.33	1.0	GO:0050801
regulation of actin filament-based process (GO:0032970)	398	3	1.93	+	1.55	0.446	1.0	GO:0032970
regulation of protein stability (GO:0031647)	398	3	1.93	+	1.55	0.446	1.0	GO:0031647
positive regulation of cell population proliferation (GO:0008284)	931	7	4.52	+	1.55	0.223	1.0	GO:0008284
regulation of blood circulation (GO:1903522)	268	2	1.3	+	1.54	0.375	1.0	GO:1903522
regulation of apoptotic process (GO:0042981)	1478	11	7.18	+	1.53	0.169	1.0	GO:0042981
endosomal transport (GO:0016197)	269	2	1.31	+	1.53	0.377	1.0	GO:0016197
negative regulation of response to external stimulus (GO:0032102)	404	3	1.96	+	1.53	0.45	1.0	GO:0032102
