Ontology	Ref	Count	expected	Fold Enrichment	over_under	raw P-value	FDR	GOID
regulation of mucus secretion (GO:0070255)	8	2	0.2	+	10.19	0.0153	1.0	GO:0070255
regulation of cytoplasmic mRNA processing body assembly (GO:0010603)	8	2	0.2	+	10.19	0.0153	1.0	GO:0010603
regulation of female receptivity (GO:0045924)	8	2	0.2	+	10.19	0.0153	1.0	GO:0045924
positive regulation of fatty acid transport (GO:2000193)	21	5	0.52	+	9.70	0.000128	0.946	GO:2000193
positive regulation of icosanoid secretion (GO:0032305)	17	4	0.42	+	9.59	0.000661	1.0	GO:0032305
positive regulation of heterotypic cell-cell adhesion (GO:0034116)	13	3	0.32	+	9.40	0.0035	1.0	GO:0034116
lung saccule development (GO:0060430)	9	2	0.22	+	9.06	0.0193	1.0	GO:0060430
cyclooxygenase pathway (GO:0019371)	9	2	0.22	+	9.06	0.0193	1.0	GO:0019371
type II hypersensitivity (GO:0002445)	9	2	0.22	+	9.06	0.0193	1.0	GO:0002445
female mating behavior (GO:0060180)	9	2	0.22	+	9.06	0.0193	1.0	GO:0060180
type IIa hypersensitivity (GO:0001794)	9	2	0.22	+	9.06	0.0193	1.0	GO:0001794
antibody-dependent cellular cytotoxicity (GO:0001788)	9	2	0.22	+	9.06	0.0193	1.0	GO:0001788
negative regulation of B cell receptor signaling pathway (GO:0050859)	9	2	0.22	+	9.06	0.0193	1.0	GO:0050859
N-acylphosphatidylethanolamine metabolic process (GO:0070292)	9	2	0.22	+	9.06	0.0193	1.0	GO:0070292
mesodermal cell fate specification (GO:0007501)	9	2	0.22	+	9.06	0.0193	1.0	GO:0007501
regulation of icosanoid secretion (GO:0032303)	19	4	0.47	+	8.58	0.00104	1.0	GO:0032303
regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway (GO:0070432)	10	2	0.25	+	8.15	0.0237	1.0	GO:0070432
retina vasculature morphogenesis in camera-type eye (GO:0061299)	10	2	0.25	+	8.15	0.0237	1.0	GO:0061299
regulation of glomerular filtration (GO:0003093)	11	2	0.27	+	7.41	0.0285	1.0	GO:0003093
positive regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001241)	11	2	0.27	+	7.41	0.0285	1.0	GO:2001241
neuron projection extension involved in neuron projection guidance (GO:1902284)	11	2	0.27	+	7.41	0.0285	1.0	GO:1902284
axon extension involved in axon guidance (GO:0048846)	11	2	0.27	+	7.41	0.0285	1.0	GO:0048846
positive regulation of phospholipid biosynthetic process (GO:0071073)	11	2	0.27	+	7.41	0.0285	1.0	GO:0071073
positive regulation of heat generation (GO:0031652)	11	2	0.27	+	7.41	0.0285	1.0	GO:0031652
omega-hydroxylase P450 pathway (GO:0097267)	11	2	0.27	+	7.41	0.0285	1.0	GO:0097267
negative regulation of endothelial cell apoptotic process (GO:2000352)	33	6	0.81	+	7.41	0.000134	0.657	GO:2000352
prostaglandin biosynthetic process (GO:0001516)	18	3	0.44	+	6.79	0.00911	1.0	GO:0001516
regulation of phospholipid biosynthetic process (GO:0071071)	18	3	0.44	+	6.79	0.00911	1.0	GO:0071071
hypersensitivity (GO:0002524)	12	2	0.29	+	6.79	0.0337	1.0	GO:0002524
double-strand break repair via break-induced replication (GO:0000727)	12	2	0.29	+	6.79	0.0337	1.0	GO:0000727
modification of postsynaptic actin cytoskeleton (GO:0098885)	12	2	0.29	+	6.79	0.0337	1.0	GO:0098885
synaptic vesicle budding (GO:0070142)	12	2	0.29	+	6.79	0.0337	1.0	GO:0070142
negative regulation of macrophage cytokine production (GO:0010936)	12	2	0.29	+	6.79	0.0337	1.0	GO:0010936
cartilage morphogenesis (GO:0060536)	12	2	0.29	+	6.79	0.0337	1.0	GO:0060536
regulation of fatty acid transport (GO:2000191)	31	5	0.76	+	6.57	0.000874	1.0	GO:2000191
natural killer cell activation involved in immune response (GO:0002323)	25	4	0.61	+	6.52	0.00301	1.0	GO:0002323
toxin metabolic process (GO:0009404)	19	3	0.47	+	6.43	0.0106	1.0	GO:0009404
retinal metabolic process (GO:0042574)	19	3	0.47	+	6.43	0.0106	1.0	GO:0042574
epithelial cilium movement involved in determination of left/right asymmetry (GO:0060287)	13	2	0.32	+	6.27	0.0392	1.0	GO:0060287
embryonic skeletal joint morphogenesis (GO:0060272)	13	2	0.32	+	6.27	0.0392	1.0	GO:0060272
positive regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060213)	13	2	0.32	+	6.27	0.0392	1.0	GO:0060213
regulation of dendritic cell differentiation (GO:2001198)	13	2	0.32	+	6.27	0.0392	1.0	GO:2001198
response to peptidoglycan (GO:0032494)	13	2	0.32	+	6.27	0.0392	1.0	GO:0032494
calcium import into the mitochondrion (GO:0036444)	13	2	0.32	+	6.27	0.0392	1.0	GO:0036444
mucus secretion (GO:0070254)	13	2	0.32	+	6.27	0.0392	1.0	GO:0070254
maintenance of protein localization in endoplasmic reticulum (GO:0035437)	13	2	0.32	+	6.27	0.0392	1.0	GO:0035437
cardiac muscle cell apoptotic process (GO:0010659)	13	2	0.32	+	6.27	0.0392	1.0	GO:0010659
positive regulation of platelet activation (GO:0010572)	13	2	0.32	+	6.27	0.0392	1.0	GO:0010572
postsynaptic density assembly (GO:0097107)	13	2	0.32	+	6.27	0.0392	1.0	GO:0097107
endothelial cell apoptotic process (GO:0072577)	13	2	0.32	+	6.27	0.0392	1.0	GO:0072577
regulation of monocyte chemotactic protein-1 production (GO:0071637)	20	3	0.49	+	6.11	0.0123	1.0	GO:0071637
cellular response to gonadotropin stimulus (GO:0071371)	20	3	0.49	+	6.11	0.0123	1.0	GO:0071371
prostanoid biosynthetic process (GO:0046457)	20	3	0.49	+	6.11	0.0123	1.0	GO:0046457
positive regulation of monocyte chemotactic protein-1 production (GO:0071639)	14	2	0.34	+	5.82	0.045	1.0	GO:0071639
regulation of heat generation (GO:0031650)	14	2	0.34	+	5.82	0.045	1.0	GO:0031650
regulation of amyloid precursor protein biosynthetic process (GO:0042984)	14	2	0.34	+	5.82	0.045	1.0	GO:0042984
oligopeptide transmembrane transport (GO:0035672)	14	2	0.34	+	5.82	0.045	1.0	GO:0035672
oxygen transport (GO:0015671)	14	2	0.34	+	5.82	0.045	1.0	GO:0015671
miRNA-mediated post-transcriptional gene silencing (GO:0035195)	28	4	0.69	+	5.82	0.0046	1.0	GO:0035195
striated muscle cell apoptotic process (GO:0010658)	14	2	0.34	+	5.82	0.045	1.0	GO:0010658
negative regulation of glycoprotein biosynthetic process (GO:0010561)	14	2	0.34	+	5.82	0.045	1.0	GO:0010561
basic amino acid transmembrane transport (GO:1990822)	21	3	0.52	+	5.82	0.0141	1.0	GO:1990822
dicarboxylic acid biosynthetic process (GO:0043650)	21	3	0.52	+	5.82	0.0141	1.0	GO:0043650
GABAergic neuron differentiation (GO:0097154)	21	3	0.52	+	5.82	0.0141	1.0	GO:0097154
regulation of heterotypic cell-cell adhesion (GO:0034114)	22	3	0.54	+	5.56	0.016	1.0	GO:0034114
modification of synaptic structure (GO:0099563)	22	3	0.54	+	5.56	0.016	1.0	GO:0099563
response to interferon-alpha (GO:0035455)	22	3	0.54	+	5.56	0.016	1.0	GO:0035455
regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060211)	15	2	0.37	+	5.43	0.0511	1.0	GO:0060211
endothelial cell morphogenesis (GO:0001886)	15	2	0.37	+	5.43	0.0511	1.0	GO:0001886
inner cell mass cell proliferation (GO:0001833)	15	2	0.37	+	5.43	0.0511	1.0	GO:0001833
mesodermal cell fate commitment (GO:0001710)	15	2	0.37	+	5.43	0.0511	1.0	GO:0001710
positive regulation of granulocyte macrophage colony-stimulating factor production (GO:0032725)	15	2	0.37	+	5.43	0.0511	1.0	GO:0032725
medium-chain fatty acid metabolic process (GO:0051791)	15	2	0.37	+	5.43	0.0511	1.0	GO:0051791
regulation of nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway (GO:0070424)	15	2	0.37	+	5.43	0.0511	1.0	GO:0070424
regulation of neuron projection arborization (GO:0150011)	15	2	0.37	+	5.43	0.0511	1.0	GO:0150011
positive regulation of adipose tissue development (GO:1904179)	15	2	0.37	+	5.43	0.0511	1.0	GO:1904179
negative regulation of antigen receptor-mediated signaling pathway (GO:0050858)	46	6	1.13	+	5.32	0.000863	1.0	GO:0050858
benzene-containing compound metabolic process (GO:0042537)	23	3	0.56	+	5.32	0.0181	1.0	GO:0042537
xenobiotic catabolic process (GO:0042178)	31	4	0.76	+	5.26	0.00667	1.0	GO:0042178
response to antibiotic (GO:0046677)	40	5	0.98	+	5.09	0.00283	1.0	GO:0046677
embryonic skeletal joint development (GO:0072498)	16	2	0.39	+	5.09	0.0575	1.0	GO:0072498
renal system process involved in regulation of blood volume (GO:0001977)	16	2	0.39	+	5.09	0.0575	1.0	GO:0001977
regulation of mitotic spindle assembly (GO:1901673)	24	3	0.59	+	5.09	0.0203	1.0	GO:1901673
olefinic compound biosynthetic process (GO:0120255)	16	2	0.39	+	5.09	0.0575	1.0	GO:0120255
postsynaptic specialization assembly (GO:0098698)	16	2	0.39	+	5.09	0.0575	1.0	GO:0098698
nose development (GO:0043584)	16	2	0.39	+	5.09	0.0575	1.0	GO:0043584
interneuron migration (GO:1904936)	16	2	0.39	+	5.09	0.0575	1.0	GO:1904936
arachidonate secretion (GO:0050482)	24	3	0.59	+	5.09	0.0203	1.0	GO:0050482
basic amino acid transport (GO:0015802)	24	3	0.59	+	5.09	0.0203	1.0	GO:0015802
positive regulation of ruffle assembly (GO:1900029)	16	2	0.39	+	5.09	0.0575	1.0	GO:1900029
arachidonate transport (GO:1903963)	24	3	0.59	+	5.09	0.0203	1.0	GO:1903963
positive regulation of phospholipid metabolic process (GO:1903727)	16	2	0.39	+	5.09	0.0575	1.0	GO:1903727
platelet formation (GO:0030220)	24	3	0.59	+	5.09	0.0203	1.0	GO:0030220
regulation of acute inflammatory response to antigenic stimulus (GO:0002864)	16	2	0.39	+	5.09	0.0575	1.0	GO:0002864
bicarbonate transport (GO:0015701)	33	4	0.81	+	4.94	0.00834	1.0	GO:0015701
alternative mRNA splicing, via spliceosome (GO:0000380)	25	3	0.61	+	4.89	0.0226	1.0	GO:0000380
positive regulation of organic acid transport (GO:0032892)	42	5	1.03	+	4.85	0.00351	1.0	GO:0032892
acute inflammatory response to antigenic stimulus (GO:0002438)	17	2	0.42	+	4.79	0.0641	1.0	GO:0002438
positive regulation of neuron migration (GO:2001224)	17	2	0.42	+	4.79	0.0641	1.0	GO:2001224
negative regulation of glycoprotein metabolic process (GO:1903019)	17	2	0.42	+	4.79	0.0641	1.0	GO:1903019
radial glial cell differentiation (GO:0060019)	17	2	0.42	+	4.79	0.0641	1.0	GO:0060019
regulation of granulocyte macrophage colony-stimulating factor production (GO:0032645)	17	2	0.42	+	4.79	0.0641	1.0	GO:0032645
transcription initiation at RNA polymerase I promoter (GO:0006361)	17	2	0.42	+	4.79	0.0641	1.0	GO:0006361
Rab protein signal transduction (GO:0032482)	17	2	0.42	+	4.79	0.0641	1.0	GO:0032482
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	17	2	0.42	+	4.79	0.0641	1.0	GO:0000463
antifungal innate immune response (GO:0061760)	17	2	0.42	+	4.79	0.0641	1.0	GO:0061760
membrane depolarization during cardiac muscle cell action potential (GO:0086012)	17	2	0.42	+	4.79	0.0641	1.0	GO:0086012
cardiac left ventricle morphogenesis (GO:0003214)	17	2	0.42	+	4.79	0.0641	1.0	GO:0003214
arachidonate metabolic process (GO:0019369)	60	7	1.47	+	4.75	0.000645	1.0	GO:0019369
platelet morphogenesis (GO:0036344)	26	3	0.64	+	4.70	0.0251	1.0	GO:0036344
epoxygenase P450 pathway (GO:0019373)	18	2	0.44	+	4.53	0.071	1.0	GO:0019373
oligopeptide transport (GO:0006857)	18	2	0.44	+	4.53	0.071	1.0	GO:0006857
glutamine metabolic process (GO:0006541)	18	2	0.44	+	4.53	0.071	1.0	GO:0006541
Fc-gamma receptor signaling pathway (GO:0038094)	36	4	0.88	+	4.53	0.0113	1.0	GO:0038094
inner dynein arm assembly (GO:0036159)	18	2	0.44	+	4.53	0.071	1.0	GO:0036159
base conversion or substitution editing (GO:0016553)	18	2	0.44	+	4.53	0.071	1.0	GO:0016553
drinking behavior (GO:0042756)	18	2	0.44	+	4.53	0.071	1.0	GO:0042756
deoxyribonucleoside monophosphate catabolic process (GO:0009159)	18	2	0.44	+	4.53	0.071	1.0	GO:0009159
glutamine family amino acid biosynthetic process (GO:0009084)	18	2	0.44	+	4.53	0.071	1.0	GO:0009084
positive regulation of T-helper 1 type immune response (GO:0002827)	18	2	0.44	+	4.53	0.071	1.0	GO:0002827
protein localization to peroxisome (GO:0072662)	18	2	0.44	+	4.53	0.071	1.0	GO:0072662
phosphatidylethanolamine metabolic process (GO:0046337)	27	3	0.66	+	4.53	0.0278	1.0	GO:0046337
prostaglandin metabolic process (GO:0006693)	37	4	0.91	+	4.41	0.0125	1.0	GO:0006693
renal system process involved in regulation of systemic arterial blood pressure (GO:0003071)	28	3	0.69	+	4.37	0.0305	1.0	GO:0003071
uterus development (GO:0060065)	28	3	0.69	+	4.37	0.0305	1.0	GO:0060065
regulation of endothelial cell apoptotic process (GO:2000351)	56	6	1.37	+	4.37	0.00244	1.0	GO:2000351
defense response to protozoan (GO:0042832)	28	3	0.69	+	4.37	0.0305	1.0	GO:0042832
response to gonadotropin (GO:0034698)	28	3	0.69	+	4.37	0.0305	1.0	GO:0034698
phagolysosome assembly (GO:0001845)	19	2	0.47	+	4.29	0.0781	1.0	GO:0001845
endosome to lysosome transport via multivesicular body sorting pathway (GO:0032510)	19	2	0.47	+	4.29	0.0781	1.0	GO:0032510
negative regulation of T cell receptor signaling pathway (GO:0050860)	38	4	0.93	+	4.29	0.0137	1.0	GO:0050860
retrograde protein transport, ER to cytosol (GO:0030970)	19	2	0.47	+	4.29	0.0781	1.0	GO:0030970
astrocyte activation (GO:0048143)	19	2	0.47	+	4.29	0.0781	1.0	GO:0048143
negative regulation of vascular permeability (GO:0043116)	19	2	0.47	+	4.29	0.0781	1.0	GO:0043116
long-chain fatty-acyl-CoA biosynthetic process (GO:0035338)	19	2	0.47	+	4.29	0.0781	1.0	GO:0035338
phospholipid dephosphorylation (GO:0046839)	38	4	0.93	+	4.29	0.0137	1.0	GO:0046839
muscle cell apoptotic process (GO:0010657)	19	2	0.47	+	4.29	0.0781	1.0	GO:0010657
endoplasmic reticulum to cytosol transport (GO:1903513)	19	2	0.47	+	4.29	0.0781	1.0	GO:1903513
positive regulation of dendritic spine morphogenesis (GO:0061003)	19	2	0.47	+	4.29	0.0781	1.0	GO:0061003
morphogenesis of an epithelial fold (GO:0060571)	19	2	0.47	+	4.29	0.0781	1.0	GO:0060571
icosanoid secretion (GO:0032309)	29	3	0.71	+	4.22	0.0335	1.0	GO:0032309
mesodermal cell differentiation (GO:0048333)	29	3	0.71	+	4.22	0.0335	1.0	GO:0048333
hematopoietic stem cell homeostasis (GO:0061484)	29	3	0.71	+	4.22	0.0335	1.0	GO:0061484
hyaluronan metabolic process (GO:0030212)	29	3	0.71	+	4.22	0.0335	1.0	GO:0030212
prostanoid metabolic process (GO:0006692)	39	4	0.96	+	4.18	0.015	1.0	GO:0006692
positive regulation of adenylate cyclase activity (GO:0045762)	20	2	0.49	+	4.08	0.0854	1.0	GO:0045762
regulation of adenylate cyclase activity (GO:0045761)	30	3	0.74	+	4.08	0.0365	1.0	GO:0045761
negative regulation of toll-like receptor signaling pathway (GO:0034122)	20	2	0.49	+	4.08	0.0854	1.0	GO:0034122
trophectodermal cell differentiation (GO:0001829)	20	2	0.49	+	4.08	0.0854	1.0	GO:0001829
secretion by tissue (GO:0032941)	30	3	0.74	+	4.08	0.0365	1.0	GO:0032941
negative regulation of myeloid cell apoptotic process (GO:0033033)	20	2	0.49	+	4.08	0.0854	1.0	GO:0033033
phagosome maturation (GO:0090382)	30	3	0.74	+	4.08	0.0365	1.0	GO:0090382
modification of postsynaptic structure (GO:0099010)	20	2	0.49	+	4.08	0.0854	1.0	GO:0099010
behavioral response to pain (GO:0048266)	20	2	0.49	+	4.08	0.0854	1.0	GO:0048266
nuclear-transcribed mRNA poly(A) tail shortening (GO:0000289)	20	2	0.49	+	4.08	0.0854	1.0	GO:0000289
DNA replication checkpoint signaling (GO:0000076)	20	2	0.49	+	4.08	0.0854	1.0	GO:0000076
positive regulation of protein export from nucleus (GO:0046827)	20	2	0.49	+	4.08	0.0854	1.0	GO:0046827
negative regulation of D-glucose transmembrane transport (GO:0010829)	20	2	0.49	+	4.08	0.0854	1.0	GO:0010829
regulatory ncRNA-mediated post-transcriptional gene silencing (GO:0035194)	40	4	0.98	+	4.08	0.0163	1.0	GO:0035194
retina vasculature development in camera-type eye (GO:0061298)	20	2	0.49	+	4.08	0.0854	1.0	GO:0061298
cell fate commitment involved in formation of primary germ layer (GO:0060795)	30	3	0.74	+	4.08	0.0365	1.0	GO:0060795
establishment of protein localization to peroxisome (GO:0072663)	20	2	0.49	+	4.08	0.0854	1.0	GO:0072663
hypothalamus development (GO:0021854)	30	3	0.74	+	4.08	0.0365	1.0	GO:0021854
response to protozoan (GO:0001562)	31	3	0.76	+	3.94	0.0397	1.0	GO:0001562
inositol phosphate metabolic process (GO:0043647)	31	3	0.76	+	3.94	0.0397	1.0	GO:0043647
regulation of ruffle assembly (GO:1900027)	31	3	0.76	+	3.94	0.0397	1.0	GO:1900027
positive chemotaxis (GO:0050918)	52	5	1.28	+	3.92	0.00878	1.0	GO:0050918
positive regulation of actin filament polymerization (GO:0030838)	52	5	1.28	+	3.92	0.00878	1.0	GO:0030838
mitochondrial calcium ion transmembrane transport (GO:0006851)	21	2	0.52	+	3.88	0.0929	1.0	GO:0006851
regulation of endothelial cell chemotaxis (GO:2001026)	21	2	0.52	+	3.88	0.0929	1.0	GO:2001026
positive regulation of peptidyl-serine phosphorylation (GO:0033138)	21	2	0.52	+	3.88	0.0929	1.0	GO:0033138
negative regulation of interleukin-10 production (GO:0032693)	21	2	0.52	+	3.88	0.0929	1.0	GO:0032693
negative regulation of type II interferon production (GO:0032689)	42	4	1.03	+	3.88	0.0192	1.0	GO:0032689
positive regulation of glycogen metabolic process (GO:0070875)	21	2	0.52	+	3.88	0.0929	1.0	GO:0070875
regulation of ARF protein signal transduction (GO:0032012)	21	2	0.52	+	3.88	0.0929	1.0	GO:0032012
mRNA modification (GO:0016556)	21	2	0.52	+	3.88	0.0929	1.0	GO:0016556
stress fiber assembly (GO:0043149)	21	2	0.52	+	3.88	0.0929	1.0	GO:0043149
calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules (GO:0016338)	21	2	0.52	+	3.88	0.0929	1.0	GO:0016338
negative regulation of endoplasmic reticulum unfolded protein response (GO:1900102)	21	2	0.52	+	3.88	0.0929	1.0	GO:1900102
glutamine family amino acid catabolic process (GO:0009065)	21	2	0.52	+	3.88	0.0929	1.0	GO:0009065
gas transport (GO:0015669)	21	2	0.52	+	3.88	0.0929	1.0	GO:0015669
regulation of adipose tissue development (GO:1904177)	21	2	0.52	+	3.88	0.0929	1.0	GO:1904177
heparin proteoglycan metabolic process (GO:0030202)	21	2	0.52	+	3.88	0.0929	1.0	GO:0030202
contractile actin filament bundle assembly (GO:0030038)	21	2	0.52	+	3.88	0.0929	1.0	GO:0030038
negative regulation of tumor necrosis factor-mediated signaling pathway (GO:0010804)	32	3	0.79	+	3.82	0.0431	1.0	GO:0010804
regulation of T-helper 1 type immune response (GO:0002825)	32	3	0.79	+	3.82	0.0431	1.0	GO:0002825
regulation of skeletal muscle cell differentiation (GO:2001014)	22	2	0.54	+	3.70	0.101	1.0	GO:2001014
glomerulus vasculature development (GO:0072012)	22	2	0.54	+	3.70	0.101	1.0	GO:0072012
melanosome transport (GO:0032402)	22	2	0.54	+	3.70	0.101	1.0	GO:0032402
mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)	22	2	0.54	+	3.70	0.101	1.0	GO:0006123
positive regulation of lyase activity (GO:0051349)	22	2	0.54	+	3.70	0.101	1.0	GO:0051349
interleukin-1-mediated signaling pathway (GO:0070498)	22	2	0.54	+	3.70	0.101	1.0	GO:0070498
regulation of B cell receptor signaling pathway (GO:0050855)	22	2	0.54	+	3.70	0.101	1.0	GO:0050855
linoleic acid metabolic process (GO:0043651)	22	2	0.54	+	3.70	0.101	1.0	GO:0043651
peroxisomal transport (GO:0043574)	22	2	0.54	+	3.70	0.101	1.0	GO:0043574
peroxisomal membrane transport (GO:0015919)	22	2	0.54	+	3.70	0.101	1.0	GO:0015919
estrogen receptor signaling pathway (GO:0030520)	22	2	0.54	+	3.70	0.101	1.0	GO:0030520
negative regulation of insulin receptor signaling pathway (GO:0046627)	44	4	1.08	+	3.70	0.0224	1.0	GO:0046627
positive regulation of humoral immune response (GO:0002922)	22	2	0.54	+	3.70	0.101	1.0	GO:0002922
phosphatidic acid biosynthetic process (GO:0006654)	33	3	0.81	+	3.70	0.0465	1.0	GO:0006654
embryonic forelimb morphogenesis (GO:0035115)	33	3	0.81	+	3.70	0.0465	1.0	GO:0035115
phosphatidylglycerol metabolic process (GO:0046471)	33	3	0.81	+	3.70	0.0465	1.0	GO:0046471
positive regulation of stem cell proliferation (GO:2000648)	45	4	1.1	+	3.62	0.0242	1.0	GO:2000648
negative regulation of cellular response to insulin stimulus (GO:1900077)	45	4	1.1	+	3.62	0.0242	1.0	GO:1900077
negative regulation of production of molecular mediator of immune response (GO:0002701)	45	4	1.1	+	3.62	0.0242	1.0	GO:0002701
regulation of spindle assembly (GO:0090169)	34	3	0.83	+	3.60	0.0501	1.0	GO:0090169
negative regulation of cytokine production involved in immune response (GO:0002719)	34	3	0.83	+	3.60	0.0501	1.0	GO:0002719
positive regulation of blood vessel endothelial cell migration (GO:0043536)	57	5	1.4	+	3.57	0.0128	1.0	GO:0043536
immune response-regulating cell surface receptor signaling pathway involved in phagocytosis (GO:0002433)	23	2	0.56	+	3.54	0.108	1.0	GO:0002433
blastocyst growth (GO:0001832)	23	2	0.56	+	3.54	0.108	1.0	GO:0001832
regulation of polysaccharide metabolic process (GO:0032881)	46	4	1.13	+	3.54	0.026	1.0	GO:0032881
pigment granule transport (GO:0051904)	23	2	0.56	+	3.54	0.108	1.0	GO:0051904
Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096)	23	2	0.56	+	3.54	0.108	1.0	GO:0038096
establishment of melanosome localization (GO:0032401)	23	2	0.56	+	3.54	0.108	1.0	GO:0032401
postsynapse assembly (GO:0099068)	23	2	0.56	+	3.54	0.108	1.0	GO:0099068
outer dynein arm assembly (GO:0036158)	23	2	0.56	+	3.54	0.108	1.0	GO:0036158
nucleoside monophosphate catabolic process (GO:0009125)	23	2	0.56	+	3.54	0.108	1.0	GO:0009125
male genitalia development (GO:0030539)	23	2	0.56	+	3.54	0.108	1.0	GO:0030539
membrane depolarization during action potential (GO:0086010)	23	2	0.56	+	3.54	0.108	1.0	GO:0086010
response to progesterone (GO:0032570)	35	3	0.86	+	3.49	0.0539	1.0	GO:0032570
platelet-derived growth factor receptor signaling pathway (GO:0048008)	35	3	0.86	+	3.49	0.0539	1.0	GO:0048008
very long-chain fatty acid metabolic process (GO:0000038)	35	3	0.86	+	3.49	0.0539	1.0	GO:0000038
regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001239)	47	4	1.15	+	3.47	0.0279	1.0	GO:2001239
unsaturated fatty acid biosynthetic process (GO:0006636)	47	4	1.15	+	3.47	0.0279	1.0	GO:0006636
astrocyte development (GO:0014002)	36	3	0.88	+	3.40	0.0577	1.0	GO:0014002
response to pain (GO:0048265)	36	3	0.88	+	3.40	0.0577	1.0	GO:0048265
regulation of vesicle fusion (GO:0031338)	36	3	0.88	+	3.40	0.0577	1.0	GO:0031338
regulation of phospholipid metabolic process (GO:1903725)	36	3	0.88	+	3.40	0.0577	1.0	GO:1903725
establishment of pigment granule localization (GO:0051905)	24	2	0.59	+	3.40	0.116	1.0	GO:0051905
regulation of renal system process (GO:0098801)	24	2	0.59	+	3.40	0.116	1.0	GO:0098801
midbody abscission (GO:0061952)	24	2	0.59	+	3.40	0.116	1.0	GO:0061952
positive regulation of cyclase activity (GO:0031281)	24	2	0.59	+	3.40	0.116	1.0	GO:0031281
kidney vasculature development (GO:0061440)	24	2	0.59	+	3.40	0.116	1.0	GO:0061440
renal system vasculature development (GO:0061437)	24	2	0.59	+	3.40	0.116	1.0	GO:0061437
T-helper 1 type immune response (GO:0042088)	24	2	0.59	+	3.40	0.116	1.0	GO:0042088
unsaturated fatty acid metabolic process (GO:0033559)	109	9	2.67	+	3.36	0.00146	1.0	GO:0033559
regulation of endoplasmic reticulum unfolded protein response (GO:1900101)	37	3	0.91	+	3.30	0.0617	1.0	GO:1900101
regulation of cellular response to insulin stimulus (GO:1900076)	75	6	1.84	+	3.26	0.0102	1.0	GO:1900076
negative regulation of systemic arterial blood pressure (GO:0003085)	25	2	0.61	+	3.26	0.125	1.0	GO:0003085
